Economy_Label,1948_US_at_current_prices_in_millions_Value,1948_US_at_current_prices_Footnote,1948_US_at_current_prices_MissingValue,1949_US_at_current_prices_in_millions_Value,1949_US_at_current_prices_Footnote,1949_US_at_current_prices_MissingValue,1950_US_at_current_prices_in_millions_Value,1950_US_at_current_prices_Footnote,1950_US_at_current_prices_MissingValue,1951_US_at_current_prices_in_millions_Value,1951_US_at_current_prices_Footnote,1951_US_at_current_prices_MissingValue,1952_US_at_current_prices_in_millions_Value,1952_US_at_current_prices_Footnote,1952_US_at_current_prices_MissingValue,1953_US_at_current_prices_in_millions_Value,1953_US_at_current_prices_Footnote,1953_US_at_current_prices_MissingValue,1954_US_at_current_prices_in_millions_Value,1954_US_at_current_prices_Footnote,1954_US_at_current_prices_MissingValue,1955_US_at_current_prices_in_millions_Value,1955_US_at_current_prices_Footnote,1955_US_at_current_prices_MissingValue,1956_US_at_current_prices_in_millions_Value,1956_US_at_current_prices_Footnote,1956_US_at_current_prices_MissingValue,1957_US_at_current_prices_in_millions_Value,1957_US_at_current_prices_Footnote,1957_US_at_current_prices_MissingValue,1958_US_at_current_prices_in_millions_Value,1958_US_at_current_prices_Footnote,1958_US_at_current_prices_MissingValue,1959_US_at_current_prices_in_millions_Value,1959_US_at_current_prices_Footnote,1959_US_at_current_prices_MissingValue,1960_US_at_current_prices_in_millions_Value,1960_US_at_current_prices_Footnote,1960_US_at_current_prices_MissingValue,1961_US_at_current_prices_in_millions_Value,1961_US_at_current_prices_Footnote,1961_US_at_current_prices_MissingValue,1962_US_at_current_prices_in_millions_Value,1962_US_at_current_prices_Footnote,1962_US_at_current_prices_MissingValue,1963_US_at_current_prices_in_millions_Value,1963_US_at_current_prices_Footnote,1963_US_at_current_prices_MissingValue,1964_US_at_current_prices_in_millions_Value,1964_US_at_current_prices_Footnote,1964_US_at_current_prices_MissingValue,1965_US_at_current_prices_in_millions_Value,1965_US_at_current_prices_Footnote,1965_US_at_current_prices_MissingValue,1966_US_at_current_prices_in_millions_Value,1966_US_at_current_prices_Footnote,1966_US_at_current_prices_MissingValue,1967_US_at_current_prices_in_millions_Value,1967_US_at_current_prices_Footnote,1967_US_at_current_prices_MissingValue,1968_US_at_current_prices_in_millions_Value,1968_US_at_current_prices_Footnote,1968_US_at_current_prices_MissingValue,1969_US_at_current_prices_in_millions_Value,1969_US_at_current_prices_Footnote,1969_US_at_current_prices_MissingValue,1970_US_at_current_prices_in_millions_Value,1970_US_at_current_prices_Footnote,1970_US_at_current_prices_MissingValue,1971_US_at_current_prices_in_millions_Value,1971_US_at_current_prices_Footnote,1971_US_at_current_prices_MissingValue,1972_US_at_current_prices_in_millions_Value,1972_US_at_current_prices_Footnote,1972_US_at_current_prices_MissingValue,1973_US_at_current_prices_in_millions_Value,1973_US_at_current_prices_Footnote,1973_US_at_current_prices_MissingValue,1974_US_at_current_prices_in_millions_Value,1974_US_at_current_prices_Footnote,1974_US_at_current_prices_MissingValue,1975_US_at_current_prices_in_millions_Value,1975_US_at_current_prices_Footnote,1975_US_at_current_prices_MissingValue,1976_US_at_current_prices_in_millions_Value,1976_US_at_current_prices_Footnote,1976_US_at_current_prices_MissingValue,1977_US_at_current_prices_in_millions_Value,1977_US_at_current_prices_Footnote,1977_US_at_current_prices_MissingValue,1978_US_at_current_prices_in_millions_Value,1978_US_at_current_prices_Footnote,1978_US_at_current_prices_MissingValue,1979_US_at_current_prices_in_millions_Value,1979_US_at_current_prices_Footnote,1979_US_at_current_prices_MissingValue,1980_US_at_current_prices_in_millions_Value,1980_US_at_current_prices_Footnote,1980_US_at_current_prices_MissingValue,1981_US_at_current_prices_in_millions_Value,1981_US_at_current_prices_Footnote,1981_US_at_current_prices_MissingValue,1982_US_at_current_prices_in_millions_Value,1982_US_at_current_prices_Footnote,1982_US_at_current_prices_MissingValue,1983_US_at_current_prices_in_millions_Value,1983_US_at_current_prices_Footnote,1983_US_at_current_prices_MissingValue,1984_US_at_current_prices_in_millions_Value,1984_US_at_current_prices_Footnote,1984_US_at_current_prices_MissingValue,1985_US_at_current_prices_in_millions_Value,1985_US_at_current_prices_Footnote,1985_US_at_current_prices_MissingValue,1986_US_at_current_prices_in_millions_Value,1986_US_at_current_prices_Footnote,1986_US_at_current_prices_MissingValue,1987_US_at_current_prices_in_millions_Value,1987_US_at_current_prices_Footnote,1987_US_at_current_prices_MissingValue,1988_US_at_current_prices_in_millions_Value,1988_US_at_current_prices_Footnote,1988_US_at_current_prices_MissingValue,1989_US_at_current_prices_in_millions_Value,1989_US_at_current_prices_Footnote,1989_US_at_current_prices_MissingValue,1990_US_at_current_prices_in_millions_Value,1990_US_at_current_prices_Footnote,1990_US_at_current_prices_MissingValue,1991_US_at_current_prices_in_millions_Value,1991_US_at_current_prices_Footnote,1991_US_at_current_prices_MissingValue,1992_US_at_current_prices_in_millions_Value,1992_US_at_current_prices_Footnote,1992_US_at_current_prices_MissingValue,1993_US_at_current_prices_in_millions_Value,1993_US_at_current_prices_Footnote,1993_US_at_current_prices_MissingValue,1994_US_at_current_prices_in_millions_Value,1994_US_at_current_prices_Footnote,1994_US_at_current_prices_MissingValue,1995_US_at_current_prices_in_millions_Value,1995_US_at_current_prices_Footnote,1995_US_at_current_prices_MissingValue,1996_US_at_current_prices_in_millions_Value,1996_US_at_current_prices_Footnote,1996_US_at_current_prices_MissingValue,1997_US_at_current_prices_in_millions_Value,1997_US_at_current_prices_Footnote,1997_US_at_current_prices_MissingValue,1998_US_at_current_prices_in_millions_Value,1998_US_at_current_prices_Footnote,1998_US_at_current_prices_MissingValue,1999_US_at_current_prices_in_millions_Value,1999_US_at_current_prices_Footnote,1999_US_at_current_prices_MissingValue,2000_US_at_current_prices_in_millions_Value,2000_US_at_current_prices_Footnote,2000_US_at_current_prices_MissingValue,2001_US_at_current_prices_in_millions_Value,2001_US_at_current_prices_Footnote,2001_US_at_current_prices_MissingValue,2002_US_at_current_prices_in_millions_Value,2002_US_at_current_prices_Footnote,2002_US_at_current_prices_MissingValue,2003_US_at_current_prices_in_millions_Value,2003_US_at_current_prices_Footnote,2003_US_at_current_prices_MissingValue,2004_US_at_current_prices_in_millions_Value,2004_US_at_current_prices_Footnote,2004_US_at_current_prices_MissingValue,2005_US_at_current_prices_in_millions_Value,2005_US_at_current_prices_Footnote,2005_US_at_current_prices_MissingValue,2006_US_at_current_prices_in_millions_Value,2006_US_at_current_prices_Footnote,2006_US_at_current_prices_MissingValue,2007_US_at_current_prices_in_millions_Value,2007_US_at_current_prices_Footnote,2007_US_at_current_prices_MissingValue,2008_US_at_current_prices_in_millions_Value,2008_US_at_current_prices_Footnote,2008_US_at_current_prices_MissingValue,2009_US_at_current_prices_in_millions_Value,2009_US_at_current_prices_Footnote,2009_US_at_current_prices_MissingValue,2010_US_at_current_prices_in_millions_Value,2010_US_at_current_prices_Footnote,2010_US_at_current_prices_MissingValue,2011_US_at_current_prices_in_millions_Value,2011_US_at_current_prices_Footnote,2011_US_at_current_prices_MissingValue,2012_US_at_current_prices_in_millions_Value,2012_US_at_current_prices_Footnote,2012_US_at_current_prices_MissingValue,2013_US_at_current_prices_in_millions_Value,2013_US_at_current_prices_Footnote,2013_US_at_current_prices_MissingValue,2014_US_at_current_prices_in_millions_Value,2014_US_at_current_prices_Footnote,2014_US_at_current_prices_MissingValue,2015_US_at_current_prices_in_millions_Value,2015_US_at_current_prices_Footnote,2015_US_at_current_prices_MissingValue,2016_US_at_current_prices_in_millions_Value,2016_US_at_current_prices_Footnote,2016_US_at_current_prices_MissingValue,2017_US_at_current_prices_in_millions_Value,2017_US_at_current_prices_Footnote,2017_US_at_current_prices_MissingValue,2018_US_at_current_prices_in_millions_Value,2018_US_at_current_prices_Footnote,2018_US_at_current_prices_MissingValue,2019_US_at_current_prices_in_millions_Value,2019_US_at_current_prices_Footnote,2019_US_at_current_prices_MissingValue,2020_US_at_current_prices_in_millions_Value,2020_US_at_current_prices_Footnote,2020_US_at_current_prices_MissingValue,2021_US_at_current_prices_in_millions_Value,2021_US_at_current_prices_Footnote,2021_US_at_current_prices_MissingValue,2022_US_at_current_prices_in_millions_Value,2022_US_at_current_prices_Footnote,2022_US_at_current_prices_MissingValue,2023_US_at_current_prices_in_millions_Value,2023_US_at_current_prices_Footnote,2023_US_at_current_prices_MissingValue,2024_US_at_current_prices_in_millions_Value,2024_US_at_current_prices_Footnote,2024_US_at_current_prices_MissingValue
"World",58662,,,58654,,,61862,,,82876,,,79801,,,80773,,,85184,,,94012,,,104228,,,113386,,,109363,,,117961,,,130343,,,136297,,,143435,,,156901,,,175273,,,189903,,,207240,,,218878,,,243021,,,277313,,,318276,,,354857,,,419985,,,582084,,,842702,,,877301,,,993853,,,1131232,,,1310763,,,1664428,,,2050522,,,2027785,,,1897887,,,1857898,,,1968129,,,1965697,,,2141453,,,2520515,,,2875090,,,3103071,,,3497003,,,3517340,,,3787559,,,3782439,,,4321806,,,5176671,,,5411285,,,5599647,,,5509848,,,5723003,,,6449894,,,6192835,,,6497515,,,7585928,,,9218263,,,10512045,,,12135957,,,14030960,,,16170179,,,12577859,,,15299274,,,18336081,,,18507209,,,18945303,,,19012747,,,16565155,,,16049520,,,17737661,,,19547245,,,19008086,,,17647637,,,22289712,,,24904376,,,23886067,,,24430869,,
"Africa",4374,,,4295,,,4452,,,5554,,,5491,,,5520,,,5909,,,6247,,,6630,,,6837,,,6578,,,6971,,,7372,,,7333,,,7468,,,9134,,,9981,,,10336,,,11121,,,11555,,,13142,,,14816,,,16180,,,17413,,,19654,,,27942,,,48511,,,44379,,,50829,,,59676,,,59687,,,87324,,,121508,,,100056,,,85240,,,82007,,,82507,,,83635,,,69138,,,78956,,,81129,,,89769,,,105716,,,99476,,,97357,,,91745,,,95902,,,111437,,,125455,,,126944,,,105170,,,116443,,,145190,,,136409,,,142499,,,175179,,,233964,,,301599,,,359385,,,425011,,,548224,,,387233,,,522313,,,618205,,,641228,,,600754,,,581832,,,414487,,,379944,,,436797,,,513150,,,481383,,,396072,,,560194,,,663563,,,620244,,,627049,,
"Americas",23082,,,21318,,,20230,,,26566,,,25922,,,25417,,,25858,,,28026,,,32354,,,35180,,,31292,,,31522,,,35263,,,36310,,,37615,,,40174,,,45618,,,47520,,,52246,,,55495,,,61098,,,67135,,,77486,,,79241,,,89928,,,125979,,,181718,,,188459,,,209198,,,226793,,,259001,,,329404,,,405294,,,432882,,,396729,,,391256,,,432964,,,419720,,,412826,,,458993,,,562317,,,622308,,,667869,,,694188,,,735735,,,772814,,,868602,,,1008690,,,1087346,,,1194284,,,1182404,,,1239690,,,1426842,,,1342453,,,1302878,,,1388741,,,1613239,,,1848376,,,2114055,,,2355442,,,2651280,,,2076540,,,2556613,,,3043338,,,3120470,,,3146869,,,3175786,,,2830463,,,2725991,,,2957384,,,3193943,,,3142478,,,2767578,,,3474558,,,4083644,,,3987785,,,4092132,,
"Asia",7291,,,7206,,,10237,,,14060,,,11528,,,11374,,,12173,,,13954,,,15344,,,16028,,,16545,,,18555,,,19086,,,18900,,,19883,,,21736,,,24276,,,27453,,,30431,,,31613,,,35390,,,41033,,,47007,,,58704,,,69855,,,99863,,,188154,,,181129,,,221529,,,255945,,,289753,,,374482,,,509701,,,538569,,,482582,,,461436,,,502689,,,494761,,,516734,,,622954,,,726319,,,801445,,,890407,,,967985,,,1081969,,,1161881,,,1328637,,,1562218,,,1607264,,,1694408,,,1562970,,,1704335,,,2068214,,,1883011,,,2032179,,,2421829,,,3040691,,,3591672,,,4238951,,,4928875,,,5798263,,,4612565,,,5953812,,,7204714,,,7485645,,,7647996,,,7719679,,,6861476,,,6559755,,,7288946,,,8050105,,,7810996,,,7449725,,,9542177,,,10579381,,,9954274,,,10472159,,
"Europe",21674,,,23637,,,24689,,,33875,,,34352,,,35664,,,38756,,,43123,,,47071,,,52159,,,52413,,,57912,,,65540,,,70419,,,75144,,,81931,,,91022,,,100333,,,108925,,,115456,,,128501,,,148498,,,171025,,,192302,,,231497,,,315134,,,409485,,,448056,,,495092,,,570803,,,682686,,,847920,,,984403,,,927091,,,904500,,,895935,,,919327,,,937320,,,1112267,,,1323458,,,1460250,,,1540304,,,1781086,,,1701271,,,1816509,,,1698347,,,1964115,,,2422431,,,2511257,,,2501715,,,2586598,,,2588988,,,2727309,,,2749310,,,2936205,,,3507834,,,4217358,,,4635860,,,5269963,,,6144437,,,6945361,,,5315187,,,6013427,,,7149491,,,6955480,,,7247608,,,7240789,,,6224931,,,6145822,,,6771517,,,7478400,,,7247772,,,6732219,,,8308442,,,9100492,,,8893474,,,8838513,,
"Oceania",2241,,,2198,,,2254,,,2821,,,2509,,,2799,,,2488,,,2662,,,2830,,,3182,,,2535,,,3001,,,3082,,,3335,,,3325,,,3926,,,4375,,,4261,,,4516,,,4758,,,4892,,,5831,,,6579,,,7198,,,9051,,,13166,,,14834,,,15277,,,17206,,,18014,,,19636,,,25297,,,29616,,,29187,,,28836,,,27264,,,30643,,,30260,,,30487,,,36153,,,45075,,,49245,,,51924,,,54420,,,55990,,,57653,,,64550,,,71894,,,79963,,,82296,,,72705,,,73546,,,82340,,,81652,,,83754,,,92345,,,113012,,,134537,,,153603,,,177194,,,227051,,,186334,,,253109,,,320333,,,304386,,,302075,,,294661,,,233798,,,238010,,,283017,,,311646,,,325457,,,302043,,,404341,,,477296,,,430290,,,401016,,
"Individual economies",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable",,,"Not applicable"
"Asia and Oceania",9532,,,9404,,,12491,,,16881,,,14037,,,14172,,,14661,,,16616,,,18173,,,19211,,,19080,,,21556,,,22168,,,22235,,,23208,,,25662,,,28651,,,31714,,,34947,,,36371,,,40281,,,46864,,,53585,,,65902,,,78906,,,113029,,,202988,,,196407,,,238734,,,273960,,,309389,,,399779,,,539317,,,567756,,,511418,,,488700,,,533331,,,525021,,,547221,,,659108,,,771394,,,850690,,,942332,,,1022404,,,1137959,,,1219533,,,1393186,,,1634112,,,1687227,,,1776705,,,1635675,,,1777881,,,2150554,,,1964663,,,2115933,,,2514174,,,3153702,,,3726209,,,4392554,,,5106069,,,6025314,,,4798899,,,6206921,,,7525047,,,7790030,,,7950072,,,8014340,,,7095274,,,6797764,,,7571963,,,8361751,,,8136454,,,7751768,,,9946518,,,11056677,,,10384564,,,10873175,,
"Northern America and Europe",37535,,,38744,,,37710,,,51765,,,52198,,,52325,,,55824,,,61999,,,69573,,,77016,,,74071,,,79957,,,91004,,,96716,,,102351,,,111164,,,124776,,,135542,,,148348,,,157430,,,175775,,,200228,,,231133,,,254338,,,301942,,,412460,,,543561,,,591116,,,652625,,,737664,,,877112,,,1092778,,,1277931,,,1238754,,,1192371,,,1178532,,,1233793,,,1247289,,,1430096,,,1676154,,,1900217,,,2026447,,,2302844,,,2250584,,,2399549,,,2308651,,,2642447,,,3199814,,,3338411,,,3405666,,,3483348,,,3523570,,,3786173,,,3738577,,,3882066,,,4505751,,,5349457,,,5897876,,,6684540,,,7713796,,,8689796,,,6687717,,,7679803,,,9083841,,,8957262,,,9286075,,,9338204,,,8137995,,,7987421,,,8739074,,,9595419,,,9340611,,,8548814,,,10573020,,,11769057,,,11482669,,,11472573,,
"Europe, Northern America, Australia and New Zealand",39702,,,40871,,,39893,,,54497,,,54601,,,55002,,,58185,,,64512,,,72255,,,80018,,,76435,,,82785,,,93901,,,99871,,,105506,,,114878,,,128903,,,139554,,,152595,,,161901,,,180311,,,205659,,,237125,,,260912,,,310195,,,424615,,,557011,,,605226,,,668613,,,754227,,,895265,,,1116147,,,1305296,,,1265854,,,1219303,,,1204059,,,1262422,,,1275613,,,1458545,,,1709970,,,1942299,,,2072448,,,2351991,,,2302057,,,2452158,,,2361916,,,2702160,,,3266570,,,3413074,,,3482798,,,3551324,,,3592124,,,3863341,,,3815694,,,3961482,,,4592655,,,5456366,,,6025703,,,6830386,,,7882098,,,8907633,,,6866981,,,7923834,,,9393243,,,9251242,,,9578501,,,9619801,,,8360033,,,8213681,,,9008280,,,9892189,,,9651133,,,8838015,,,10962661,,,12226842,,,11895475,,,11856374,,
