country,ISO3,year,co2_per_capita
Andorra,AND,2000,7.9806256
Andorra,AND,2001,7.959651
Andorra,AND,2002,7.992899
Andorra,AND,2003,7.701912
Andorra,AND,2004,7.5454874
Andorra,AND,2005,7.433105
Andorra,AND,2006,6.862631
Andorra,AND,2007,6.5804276
Andorra,AND,2008,6.452868
Andorra,AND,2009,6.1603327
Andorra,AND,2010,6.4034505
Andorra,AND,2011,6.314885
Andorra,AND,2012,6.344217
Andorra,AND,2013,6.336149
Andorra,AND,2014,6.264013
Andorra,AND,2015,6.449363
Andorra,AND,2016,6.5007763
Andorra,AND,2017,6.3609385
Andorra,AND,2018,6.6312327
Andorra,AND,2019,6.423361
Andorra,AND,2020,4.926832
Andorra,AND,2021,5.239097
Andorra,AND,2022,5.2659054
Andorra,AND,2023,5.244343
Argentina,ARG,2000,3.8552415
Argentina,ARG,2001,3.5916998
Argentina,ARG,2002,3.2851255
Argentina,ARG,2003,3.499908
Argentina,ARG,2004,4.046011
Argentina,ARG,2005,4.1203976
Argentina,ARG,2006,4.39929
Argentina,ARG,2007,4.3377132
Argentina,ARG,2008,4.634423
Argentina,ARG,2009,4.361317
Argentina,ARG,2010,4.5035615
Argentina,ARG,2011,4.5476246
Argentina,ARG,2012,4.53876
Argentina,ARG,2013,4.451081
Argentina,ARG,2014,4.3788686
Argentina,ARG,2015,4.41024
Argentina,ARG,2016,4.32618
Argentina,ARG,2017,4.219999
Argentina,ARG,2018,4.0443406
Argentina,ARG,2019,3.969191
Argentina,ARG,2020,3.65377
Argentina,ARG,2021,4.217578
Argentina,ARG,2022,4.4943905
Argentina,ARG,2023,4.2998033
Armenia,ARM,2000,1.1170479
Armenia,ARM,2001,1.1453818
Armenia,ARM,2002,1.0069385
Armenia,ARM,2003,1.1370969
Armenia,ARM,2004,1.2212437
Armenia,ARM,2005,1.4556637
Armenia,ARM,2006,1.4719477
Armenia,ARM,2007,1.7144848
Armenia,ARM,2008,1.8834113
