Country Name,Year,Trade_Tariffs,External_Finance
Bangladesh,1990,0.0,0.125
Switzerland,1990,1.0,1.0
Uruguay,1990,0.5339387,1.0
Venezuela,1990,0.5068939,0.875
Morocco,1990,0.6077164,0.25
Nepal,1990,0.5005643,0.375
Nicaragua,1990,0.6367334,0.5
Malaysia,1990,0.7655,0.625
Romania,1990,0.898,0.25
Senegal,1990,0.75,0.5
Singapore,1990,0.9933333,1.0
Netherlands,1990,0.898,1.0
Indonesia,1990,0.7195,0.625
Ireland,1990,0.898,0.625
Finland,1990,0.898,0.875
Sweden,1990,0.898,0.875
Hungary,1990,0.898,0.25
Brazil,1990,0.4416667,0.375
Burkina Faso,1990,0.9216009,0.5
Thailand,1990,0.3443333,0.5
Tunisia,1990,0.5321667,0.375
Colombia,1990,0.5029176,0.375
Costa Rica,1990,0.6614002,0.5
Turkey,1990,0.5992833,0.625
Israel,1990,0.9501919,0.375
Italy,1990,0.898,0.875
Jamaica,1990,0.693468,0.375
Argentina,1990,0.532347,0.625
Côte d'Ivoire,1990,0.6861556,0.25
Kenya,1990,0.3159097,0.25
Korea,1990,0.7836667,0.5
Poland,1990,0.898,0.25
Spain,1990,0.898,0.75
Egypt,1990,0.5310535,0.375
Philippines,1990,0.6743333,0.25
United Kingdom,1990,0.898,1.0
United States,1990,0.9166667,1.0
Mexico,1990,0.820666,0.625
Tanzania,1990,0.6548498,0.375
Cameroon,1990,0.8215005,0.625
Australia,1990,0.8252144,0.75
Japan,1990,0.9418333,0.625
Peru,1990,0.227852,0.5
Chile,1990,0.751065,0.375
Sri Lanka,1990,0.5706667,0.375
Ecuador,1990,0.5024031,0.75
Ghana,1990,0.2456441,0.375
Greece,1990,0.898,0.75
South Africa,1990,0.808,0.375
Germany,1990,0.898,1.0
Denmark,1990,0.898,1.0
Portugal,1990,0.898,0.75
Algeria,1990,0.6637629,0.125
Canada,1990,0.8391667,1.0
China,1990,0.3424293,0.125
El Salvador,1990,0.6639451,0.25
New Zealand,1990,0.0,0.875
Guatemala,1990,0.6395018,1.0
France,1990,0.898,0.875
Hong Kong SAR,1990,1.0,1.0
Paraguay,1990,0.8213584,0.75
Pakistan,1990,0.0,0.375
Jordan,1990,0.7016157,0.375
Austria,1990,0.8505,0.875
Nigeria,1990,0.533,0.5
Norway,1990,0.9678333,1.0
Belgium,1990,0.898,1.0
Bolivia,1990,0.721205,0.875
India,1990,0.0,0.25
Bangladesh,1991,0.0,0.125
Switzerland,1991,1.0,1.0
Uruguay,1991,0.5339387,1.0
Venezuela,1991,0.5068939,0.875
Morocco,1991,0.6077164,0.25
Nepal,1991,0.5005643,0.375
Nicaragua,1991,0.6367334,0.5
Malaysia,1991,0.773,0.625
Romania,1991,0.9196666,0.25
Senegal,1991,0.75,0.5
Singapore,1991,0.9933333,1.0
Netherlands,1991,0.9196666,1.0
Indonesia,1991,0.7195,0.625
Ireland,1991,0.9196666,0.625
Finland,1991,0.9196666,0.875
Sweden,1991,0.9196666,0.875
Hungary,1991,0.9196666,0.375
Brazil,1991,0.5411667,0.375
Burkina Faso,1991,0.9216009,0.5
Thailand,1991,0.3275,0.75
Tunisia,1991,0.5456218,0.375
Colombia,1991,0.9003333,0.375
Costa Rica,1991,0.6614002,0.5
Turkey,1991,0.5992833,0.625
Israel,1991,0.9501919,0.375
Italy,1991,0.9196666,0.875
Jamaica,1991,0.693468,0.875
Argentina,1991,0.532347,0.625
Côte d'Ivoire,1991,0.6861556,0.25
Kenya,1991,0.3159097,0.375
Korea,1991,0.7836667,0.5
Poland,1991,0.9196666,0.375
Spain,1991,0.9196666,0.75
Egypt,1991,0.5310535,0.5
Philippines,1991,0.6743333,0.25
United Kingdom,1991,0.9196666,1.0
United States,1991,0.915,1.0
Mexico,1991,0.7618333,0.625
Tanzania,1991,0.6548498,0.375
Cameroon,1991,0.8215005,0.625
Australia,1991,0.7923333,0.75
Japan,1991,0.9433333,0.625
Peru,1991,0.227852,0.875
Chile,1991,0.751065,0.25
Sri Lanka,1991,0.5706667,0.375
Ecuador,1991,0.6860698,0.875
Ghana,1991,0.2456441,0.375
Greece,1991,0.9196666,0.75
South Africa,1991,0.8125,0.375
Germany,1991,0.9196666,1.0
Denmark,1991,0.9196666,1.0
Portugal,1991,0.9196666,0.75
Algeria,1991,0.6637629,0.125
Canada,1991,0.8391667,1.0
China,1991,0.3424293,0.125
El Salvador,1991,0.6639451,0.5
New Zealand,1991,0.0,0.875
Guatemala,1991,0.6395018,1.0
France,1991,0.9196666,0.875
Hong Kong SAR,1991,1.0,1.0
Paraguay,1991,0.7441667,0.75
Pakistan,1991,0.0,0.375
Jordan,1991,0.7016157,0.375
Austria,1991,0.9196666,0.875
Nigeria,1991,0.533,0.5
Norway,1991,0.9678333,1.0
Belgium,1991,0.9196666,1.0
Bolivia,1991,0.721205,0.875
India,1991,0.0,0.375
Bangladesh,1992,0.0,0.125
Switzerland,1992,1.0,1.0
Uruguay,1992,0.8841667,1.0
Venezuela,1992,0.7143334,0.875
Morocco,1992,0.3551536,0.25
Nepal,1992,0.5005643,0.375
Nicaragua,1992,0.6367334,0.5
Malaysia,1992,0.773,0.625
Romania,1992,0.9328333,0.5
Senegal,1992,0.75,0.5
Singapore,1992,0.9933333,1.0
Netherlands,1992,0.9328333,1.0
Indonesia,1992,0.7195,0.625
Ireland,1992,0.9328333,1.0
Finland,1992,0.9328333,0.875
Sweden,1992,0.9328333,0.875
Hungary,1992,0.9328333,0.25
Brazil,1992,0.6196667,0.5
Burkina Faso,1992,0.9216009,0.5
Thailand,1992,0.3275,0.75
Tunisia,1992,0.5256667,0.375
Colombia,1992,0.7996666,0.375
Costa Rica,1992,0.6614002,1.0
Turkey,1992,0.5992833,0.625
Israel,1992,0.9501919,0.5
Italy,1992,0.9328333,0.875
Jamaica,1992,0.693468,0.875
Argentina,1992,0.7636667,0.625
Côte d'Ivoire,1992,0.6861556,0.25
Kenya,1992,0.3159097,0.375
Korea,1992,0.8136666,0.625
Poland,1992,0.9328333,0.375
Spain,1992,0.9328333,0.75
Egypt,1992,0.5310535,0.5
Philippines,1992,0.6746666,0.625
United Kingdom,1992,0.9328333,1.0
United States,1992,0.9165,1.0
Mexico,1992,0.7618333,0.625
Tanzania,1992,0.6548498,0.375
Cameroon,1992,0.8215005,0.625
Australia,1992,0.7923333,0.75
Japan,1992,0.9433333,0.75
Peru,1992,0.227852,1.0
Chile,1992,0.8168333,0.25
Sri Lanka,1992,0.5706667,0.375
Ecuador,1992,0.6860698,0.875
Ghana,1992,0.2456441,0.375
Greece,1992,0.9328333,0.75
South Africa,1992,0.8125,0.375
Germany,1992,0.9328333,1.0
Denmark,1992,0.9328333,1.0
Portugal,1992,0.9328333,0.875
Algeria,1992,0.6103187,0.125
Canada,1992,0.8391667,1.0
China,1992,0.3381667,0.125
El Salvador,1992,0.6639451,1.0
New Zealand,1992,0.834,0.875
Guatemala,1992,0.6395018,1.0
France,1992,0.9328333,0.875
Hong Kong SAR,1992,1.0,1.0
Paraguay,1992,0.7441667,0.75
Pakistan,1992,0.0,0.375
Jordan,1992,0.7016157,0.375
Austria,1992,0.9328333,0.875
Nigeria,1992,0.5311667,0.5
Norway,1992,0.9678333,1.0
Belgium,1992,0.9328333,1.0
Bolivia,1992,0.721205,0.875
India,1992,0.0498334,0.375
Bangladesh,1993,0.0,0.125
Switzerland,1993,1.0,1.0
Uruguay,1993,0.8841667,1.0
Venezuela,1993,0.7143334,0.875
Morocco,1993,0.0,0.5
Nepal,1993,0.652,0.375
Nicaragua,1993,0.6367334,0.5
Malaysia,1993,0.8078333,0.625
Romania,1993,0.9386666,0.5
Senegal,1993,0.75,0.5
Singapore,1993,0.9933333,1.0
Netherlands,1993,0.9386666,1.0
Indonesia,1993,0.721,0.75
Ireland,1993,0.9386666,1.0
Finland,1993,0.9386666,0.875
Sweden,1993,0.9386666,0.875
Hungary,1993,0.9386666,0.25
Brazil,1993,0.7378333,0.5
Burkina Faso,1993,0.5823333,0.5
Thailand,1993,0.2761666,0.75
Tunisia,1993,0.5256667,0.5
Colombia,1993,0.7996666,0.625
Costa Rica,1993,0.6614002,1.0
Turkey,1993,0.8775,0.625
Israel,1993,0.8753333,0.5
Italy,1993,0.9386666,1.0
Jamaica,1993,0.693468,0.875
Argentina,1993,0.7808334,1.0
Côte d'Ivoire,1993,0.5986667,0.25
Kenya,1993,0.3159097,0.375
Korea,1993,0.8136666,0.625
Poland,1993,0.9386666,0.375
Spain,1993,0.9386666,0.75
Egypt,1993,0.5310535,0.5
Philippines,1993,0.6326666,0.625
United Kingdom,1993,0.9386666,1.0
United States,1993,0.919,1.0
Mexico,1993,0.7618333,0.625
Tanzania,1993,0.741,0.375
Cameroon,1993,0.8215005,0.625
Australia,1993,0.8521667,0.75
Japan,1993,0.9443333,0.75
Peru,1993,0.7013333,1.0
Chile,1993,0.8168333,0.375
Sri Lanka,1993,0.6131667,0.375
Ecuador,1993,0.8451667,0.875
Ghana,1993,0.7726666,0.375
Greece,1993,0.9386666,0.75
South Africa,1993,0.7308334,0.375
Germany,1993,0.9386666,1.0
Denmark,1993,0.9386666,1.0
Portugal,1993,0.9386666,0.875
Algeria,1993,0.6426666,0.125
Canada,1993,0.8506666,1.0
China,1993,0.3816667,0.125
El Salvador,1993,0.6639451,1.0
New Zealand,1993,0.8478333,0.875
Guatemala,1993,0.6395018,1.0
France,1993,0.9386666,0.875
Hong Kong SAR,1993,1.0,1.0
Paraguay,1993,0.7441667,0.75
Pakistan,1993,0.0,0.375
Jordan,1993,0.7016157,0.375
Austria,1993,0.9386666,0.875
Nigeria,1993,0.5311667,0.5
Norway,1993,0.954,1.0
Belgium,1993,0.9386666,1.0
Bolivia,1993,0.8378333,0.875
India,1993,0.0498334,0.375
Bangladesh,1994,0.0,0.125
Switzerland,1994,1.0,1.0
Uruguay,1994,0.8841667,1.0
Venezuela,1994,0.7143334,0.375
Morocco,1994,0.0,0.5
Nepal,1994,0.652,0.375
Nicaragua,1994,0.6367334,0.5
Malaysia,1994,0.8078333,0.625
Romania,1994,0.9275,0.5
Senegal,1994,0.75,0.5
Singapore,1994,0.9933333,1.0
Netherlands,1994,0.9275,1.0
Indonesia,1994,0.721,0.75
Ireland,1994,0.9275,1.0
Finland,1994,0.9275,1.0
Sweden,1994,0.9275,0.875
Hungary,1994,0.9275,0.25
Brazil,1994,0.759,0.5
Burkina Faso,1994,0.5823333,0.5
Thailand,1994,0.2761666,0.75
Tunisia,1994,0.5256667,0.5
Colombia,1994,0.792,0.625
Costa Rica,1994,0.6614002,1.0
Turkey,1994,0.8775,0.625
Israel,1994,0.8753333,0.5
Italy,1994,0.9275,1.0
Jamaica,1994,0.693468,0.875
Argentina,1994,0.7808334,1.0
Côte d'Ivoire,1994,0.5986667,0.25
Kenya,1994,0.4795,0.5
Korea,1994,0.8136666,0.625
Poland,1994,0.9275,0.375
Spain,1994,0.9275,0.75
Egypt,1994,0.5310535,0.5
Philippines,1994,0.6463333,0.75
United Kingdom,1994,0.9275,1.0
United States,1994,0.919,1.0
Mexico,1994,0.7618333,0.625
Tanzania,1994,0.741,0.375
Cameroon,1994,0.6925,0.625
Australia,1994,0.8521667,0.75
Japan,1994,0.9441667,0.75
Peru,1994,0.7013333,1.0
Chile,1994,0.8168333,0.375
Sri Lanka,1994,0.6055,0.5
Ecuador,1994,0.8015,0.875
Ghana,1994,0.7726666,0.375
Greece,1994,0.9275,0.75
South Africa,1994,0.7308334,0.375
Germany,1994,0.9275,1.0
Denmark,1994,0.9275,1.0
Portugal,1994,0.9275,0.875
Algeria,1994,0.6426666,0.125
Canada,1994,0.8506666,1.0
China,1994,0.4446667,0.125
El Salvador,1994,0.6639451,1.0
New Zealand,1994,0.8478333,0.875
Guatemala,1994,0.6395018,1.0
France,1994,0.9275,0.875
Hong Kong SAR,1994,1.0,1.0
Paraguay,1994,0.8541667,0.75
Pakistan,1994,0.0,0.375
Jordan,1994,0.7016157,0.375
Austria,1994,0.9275,0.875
Nigeria,1994,0.5311667,0.25
Norway,1994,0.954,1.0
Belgium,1994,0.9275,1.0
Bolivia,1994,0.834,0.875
India,1994,0.0498334,0.5
Bangladesh,1995,0.0,0.125
Switzerland,1995,1.0,1.0
Uruguay,1995,0.7891667,1.0
Venezuela,1995,0.7866667,0.375
Morocco,1995,0.0,0.5
Nepal,1995,0.652,0.375
Nicaragua,1995,0.872,1.0
Malaysia,1995,0.8078333,0.625
Romania,1995,0.9046667,0.5
Senegal,1995,0.75,0.5
Singapore,1995,1.0,1.0
Netherlands,1995,0.9046667,1.0
Indonesia,1995,0.7665,0.75
Ireland,1995,0.9046667,1.0
Finland,1995,0.9046667,1.0
Sweden,1995,0.9046667,0.875
Hungary,1995,0.9046667,0.25
Brazil,1995,0.7795,0.5
Burkina Faso,1995,0.5823333,0.5
Thailand,1995,0.6496667,0.75
Tunisia,1995,0.5055,0.5
Colombia,1995,0.7698333,0.625
Costa Rica,1995,0.8383333,1.0
Turkey,1995,0.8553333,0.625
Israel,1995,0.8753333,0.5
Italy,1995,0.9046667,1.0
Jamaica,1995,0.693468,0.875
Argentina,1995,0.7883334,1.0
Côte d'Ivoire,1995,0.5986667,0.25
Kenya,1995,0.4795,0.75
Korea,1995,0.8621666,0.625
Poland,1995,0.9046667,0.375
Spain,1995,0.9046667,0.75
Egypt,1995,0.595,0.5
Philippines,1995,0.6701667,0.75
United Kingdom,1995,0.9046667,1.0
United States,1995,0.928,1.0
Mexico,1995,0.794,0.625
Tanzania,1995,0.741,0.375
Cameroon,1995,0.6983333,0.625
Australia,1995,0.8521667,0.75
Japan,1995,0.9476666,0.75
Peru,1995,0.7293333,1.0
Chile,1995,0.8221667,0.5
Sri Lanka,1995,0.6055,0.5
Ecuador,1995,0.792,0.875
Ghana,1995,0.7726666,0.375
Greece,1995,0.9046667,0.75
South Africa,1995,0.7308334,0.375
Germany,1995,0.9046667,1.0
Denmark,1995,0.9046667,1.0
Portugal,1995,0.9046667,0.875
Algeria,1995,0.6426666,0.125
Canada,1995,0.8445,1.0
China,1995,0.4446667,0.125
El Salvador,1995,0.8326667,1.0
New Zealand,1995,0.8478333,0.875
Guatemala,1995,0.8386667,1.0
France,1995,0.9046667,0.875
Hong Kong SAR,1995,1.0,1.0
Paraguay,1995,0.838,0.75
Pakistan,1995,0.1655,0.375
Jordan,1995,0.7016157,0.375
Austria,1995,0.9046667,0.875
Nigeria,1995,0.6321667,0.25
Norway,1995,0.8703333,1.0
Belgium,1995,0.9046667,1.0
Bolivia,1995,0.8388333,0.875
India,1995,0.0498334,0.5
Bangladesh,1996,0.0,0.25
Switzerland,1996,1.0,1.0
Uruguay,1996,0.7831666,1.0
Venezuela,1996,0.7866667,0.75
Morocco,1996,0.4877181,0.5
Nepal,1996,0.652,0.375
Nicaragua,1996,0.8476667,1.0
Malaysia,1996,0.8603333,0.625
Romania,1996,0.935,0.5
Senegal,1996,0.75,0.625
Singapore,1996,1.0,1.0
Netherlands,1996,0.935,1.0
Indonesia,1996,0.8206667,0.75
Ireland,1996,0.935,1.0
Finland,1996,0.935,1.0
Sweden,1996,0.935,0.875
Hungary,1996,0.935,0.375
Brazil,1996,0.7491667,0.5
Burkina Faso,1996,0.5823333,0.5
Thailand,1996,0.6496667,0.75
Tunisia,1996,0.5055,0.5
Colombia,1996,0.796,0.875
Costa Rica,1996,0.8055,1.0
Turkey,1996,0.9241667,0.625
Israel,1996,0.8753333,0.5
Italy,1996,0.935,1.0
Jamaica,1996,0.6488333,0.75
Argentina,1996,0.7591667,1.0
Côte d'Ivoire,1996,0.6761667,0.25
Kenya,1996,0.4795,0.75
Korea,1996,0.8381667,0.625
Poland,1996,0.935,0.5
Spain,1996,0.935,0.75
Egypt,1996,0.595,0.875
Philippines,1996,0.7618333,0.75
United Kingdom,1996,0.935,1.0
United States,1996,0.9281667,1.0
Mexico,1996,0.7568333,0.625
Tanzania,1996,0.741,0.375
Cameroon,1996,0.6983333,0.625
Australia,1996,0.8866667,0.75
Japan,1996,0.9493333,0.75
Peru,1996,0.7293333,1.0
Chile,1996,0.8168333,0.5
Sri Lanka,1996,0.6055,0.5
Ecuador,1996,0.8046666,1.0
Ghana,1996,0.7726666,0.375
Greece,1996,0.935,0.875
South Africa,1996,0.7496666,0.5
Germany,1996,0.935,1.0
Denmark,1996,0.935,1.0
Portugal,1996,0.935,0.875
Algeria,1996,0.6426666,0.125
Canada,1996,0.8658333,1.0
China,1996,0.633,0.125
El Salvador,1996,0.8548333,1.0
New Zealand,1996,0.8956667,1.0
Guatemala,1996,0.8386667,1.0
France,1996,0.935,0.875
Hong Kong SAR,1996,1.0,1.0
