Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5413333,0.6281667,0.6295,0.6521667,0.6498333,0.674,0.6956667,0.7438334,0.7465,0.762,0.7696667,0.7651666
Switzerland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Uruguay,0.5339387,0.5339387,0.8841667,0.8841667,0.8841667,0.7891667,0.7831666,0.78,0.7435,0.742,0.7788333,0.7811667,0.7558333,0.7558333,0.8081667,0.8355,0.8393334,0.8413333,0.84,0.8405
Venezuela,0.5068939,0.5068939,0.7143334,0.7143334,0.7143334,0.7866667,0.7866667,0.7863333,0.7836667,0.7783333,0.7793334,0.777,0.773,0.7776667,0.7916667,0.789,0.7946666,0.8028333,0.796,0.7963333
Morocco,0.6077164,0.6077164,0.3551536,0.0,0.0,0.0,0.4877181,0.6357656,0.6357656,0.4541781,0.5096667,0.5131667,0.5198333,0.5251667,0.5251667,0.6795,0.7378333,0.7783333,0.8018333,0.8473333
Nepal,0.5005643,0.5005643,0.5005643,0.652,0.652,0.652,0.652,0.652,0.6385,0.7633333,0.7626666,0.7626666,0.7571667,0.7535,0.7541667,0.7553333,0.7848333,0.7856666,0.7835,0.794
Nicaragua,0.6367334,0.6367334,0.6367334,0.6367334,0.6367334,0.872,0.8476667,0.8895,0.9183334,0.8491667,0.9493333,0.929,0.9281667,0.9235,0.9121667,0.888,0.9045,0.9101667,0.907,0.9281667
Malaysia,0.7655,0.773,0.773,0.8078333,0.8078333,0.8078333,0.8603333,0.852,0.8671667,0.8656667,0.8663333,0.8743333,0.8748333,0.877,0.8728333,0.8741667,0.8946667,0.9026667,0.9088333,0.912
Romania,0.898,0.9196666,0.9328333,0.9386666,0.9275,0.9046667,0.935,0.9448333,0.9386666,0.9338334,0.9505,0.9336666,0.96,0.9593334,0.959,0.9625,0.9601667,0.9608333,0.9625,0.9641666
Senegal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.769,0.7695,0.768,0.7678334,0.7671667,0.7751667,0.7765,0.7765,0.7765
Singapore,0.9933333,0.9933333,0.9933333,0.9933333,0.9933333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Netherlands,0.898,0.9196666,0.9328333,0.9386666,0.9275,0.9046667,0.935,0.9448333,0.9386666,0.9338334,0.9505,0.9336666,0.96,0.9593334,0.959,0.9625,0.9601667,0.9608333,0.9625,0.9641666
Indonesia,0.7195,0.7195,0.7195,0.721,0.721,0.7665,0.8206667,0.6571667,0.8678333,0.8356667,0.8663333,0.8978333,0.8953333,0.9046667,0.9033333,0.9038333,0.9031667,0.9073333,0.886,0.9173333
Ireland,0.898,0.9196666,0.9328333,0.9386666,0.9275,0.9046667,0.935,0.9448333,0.9386666,0.9338334,0.9505,0.9336666,0.96,0.9593334,0.959,0.9625,0.9601667,0.9608333,0.9625,0.9641666
Finland,0.898,0.9196666,0.9328333,0.9386666,0.9275,0.9046667,0.935,0.9448333,0.9386666,0.9338334,0.9505,0.9336666,0.96,0.9593334,0.959,0.9625,0.9601667,0.9608333,0.9625,0.9641666
Sweden,0.898,0.9196666,0.9328333,0.9386666,0.9275,0.9046667,0.935,0.9448333,0.9386666,0.9338334,0.9505,0.9336666,0.96,0.9593334,0.959,0.9625,0.9601667,0.9608333,0.9625,0.9641666
Hungary,0.898,0.9196666,0.9328333,0.9386666,0.9275,0.9046667,0.935,0.9448333,0.9386666,0.9338334,0.9505,0.9336666,0.96,0.9593334,0.959,0.9625,0.9601667,0.9608333,0.9625,0.9641666
Brazil,0.4416667,0.5411667,0.6196667,0.7378333,0.759,0.7795,0.7491667,0.7596667,0.7141667,0.7351667,0.7216666,0.75,0.7545,0.7601666,0.7803333,0.7951667,0.7983333,0.7983333,0.782,0.778
Burkina Faso,0.9216009,0.9216009,0.9216009,0.5823333,0.5823333,0.5823333,0.5823333,0.5823333,0.5823333,0.5823333,0.5823333,0.7768334,0.7775,0.774,0.774,0.7758333,0.7913333,0.7936667,0.7943333,0.7936667
Thailand,0.3443333,0.3275,0.3275,0.2761666,0.2761666,0.6496667,0.6496667,0.6496667,0.6496667,0.3009562,0.7185,0.7558333,0.7926359,0.7726666,0.8161667,0.8246667,0.8196667,0.8286667,0.824,0.8203334
Tunisia,0.5321667,0.5456218,0.5256667,0.5256667,0.5256667,0.5055,0.5055,0.5055,0.5048333,0.5048333,0.5296667,0.5296667,0.5006667,0.5745,0.568,0.7786667,0.6168333,0.63366,0.6368333,0.64
Colombia,0.5029176,0.9003333,0.7996666,0.7996666,0.792,0.7698333,0.796,0.794,0.7935,0.7923333,0.7873333,0.7868333,0.7866667,0.7875,0.8043333,0.8015,0.8128334,0.82,0.8203334,0.8218333
Costa Rica,0.6614002,0.6614002,0.6614002,0.6614002,0.6614002,0.8383333,0.8055,0.8653333,0.8931667,0.9041666,0.9163333,0.8993334,0.8828333,0.897,0.8943333,0.8836667,0.8976667,0.8993334,0.9016666,0.9243333
Turkey,0.5992833,0.5992833,0.5992833,0.8775,0.8775,0.8553333,0.9241667,0.8876666,0.9271666,0.88,0.9406667,0.9496667,0.9521667,0.9561667,0.9466667,0.9596667,0.9616666,0.9585,0.9585,0.9606667
