,DATAFLOW,FREQ,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
0,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,1998,19495100.0,,F,1,A,6,JPY
1,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2023,35134500.0,,F,1,A,6,JPY
2,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2022,34767200.0,,F,1,A,6,JPY
3,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2021,32837700.0,,F,1,A,6,JPY
4,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2020,32086600.0,,F,1,A,6,JPY
5,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2019,32779800.0,,F,1,A,6,JPY
6,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2018,31548800.0,,F,1,A,6,JPY
7,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2017,30186400.0,,F,1,A,6,JPY
8,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2016,29144200.0,,F,1,A,6,JPY
9,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2015,27929200.0,,F,1,A,6,JPY
10,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2014,27685700.0,,F,1,A,6,JPY
11,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2013,27330000.0,,F,1,A,6,JPY
12,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2012,25674600.0,,F,1,A,6,JPY
13,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2011,25917800.0,,F,1,A,6,JPY
14,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2010,26005300.0,,F,1,A,6,JPY
15,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2009,24742000.0,,F,1,A,6,JPY
16,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2008,24421500.0,,F,1,A,6,JPY
17,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2007,22862800.0,,F,1,A,6,JPY
18,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2006,21286300.0,,F,1,A,6,JPY
19,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2005,20190100.0,,F,1,A,6,JPY
20,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2004,20323700.0,,F,1,A,6,JPY
21,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2003,19741100.0,,F,1,A,6,JPY
22,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2002,19608400.0,,F,1,A,6,JPY
23,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2001,20363200.0,,F,1,A,6,JPY
24,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,2000,19571800.0,,F,1,A,6,JPY
25,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,1999,18905600.0,,F,1,A,6,JPY
26,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,1997,18942200.0,,F,1,A,6,JPY
27,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,1996,17658900.0,,F,1,A,6,JPY
28,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,1995,16909500.0,,F,1,A,6,JPY
29,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,M_N,_Z,XDC,V,N,T0103,1994,16053700.0,,F,1,A,6,JPY
30,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,1998,225906.055,,F,1,A,6,_Z
31,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2023,169783.709,,F,1,A,6,_Z
32,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2022,181484.696,,F,1,A,6,_Z
33,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2021,209710.189,,F,1,A,6,_Z
34,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2020,215934.35,,F,1,A,6,_Z
35,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2019,214585.558,,F,1,A,6,_Z
36,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2018,201220.433,,F,1,A,6,_Z
37,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2017,182881.392,,F,1,A,6,_Z
38,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2016,183419.138,,F,1,A,6,_Z
39,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2015,163788.34,,F,1,A,6,_Z
40,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2014,188264.111,,F,1,A,6,_Z
41,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2013,197496.491,,F,1,A,6,_Z
42,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2012,244387.626,,F,1,A,6,_Z
43,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2011,246723.91,,F,1,A,6,_Z
44,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2010,229167.563,,F,1,A,6,_Z
45,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_INCOME(2.0),A,JPN,S1,S1,D1,_Z,F,_Z,USD_EXC,V,N,T0103,2009,231334.609,,F,1,A,6,_Z
