country_code,i_hdi,country_name
12,0.74,Argentina
13,0.694,Armenia
17,0.853,Australia
159,0.845,Austria
20,0.423,Bangladesh
22,0.751,Belarus
23,0.852,Belgium
27,0.423,Bhutan
28,0.523,Bolivia
29,0.641,Bosnia and Herzegovina
30,0.477,Botswana
32,0.57,Brazil
217,,British Indian Ocean Territory
34,0.735,Brunei
35,0.705,Bulgaria
94,0.339,Cameroon
95,0.851,Canada
38,0.714,Chile
39,0.621,China PR
103,0.585,Colombia
108,0.779,Croatia
218,0.845,Czech Republic
43,0.887,Denmark
47,0.601,Dominican Republic
2,0.534,Egypt
51,,Eritrea
52,0.804,Estonia
16,0.297,Ethiopia
55,,Fiji
56,0.879,Finland
57,0.811,France
45,0.87,Germany
63,0.373,Ghana
66,0.766,Greece
74,,Guyana
78,0.821,Hongkong
226,0.786,Hungary
79,0.425,India
80,0.568,Indonesia
82,0.588,Iran
81,0.499,Iraq
83,0.858,Ireland
85,0.794,Israel
86,0.766,Italy
87,0.588,Jamaica
88,0.837,Japan
90,0.611,Jordan
99,0.408,Kenya
113,0.779,Latvia
116,,Libya
119,0.831,Luxemburg
133,0.676,Macedonia
122,0.333,Malawi
123,0.681,Malaysia
134,0.609,Mexico
127,0.467,Morocco
149,0.864,Netherlands
147,0.858,New Zealand
152,0.348,Nigeria
156,0.898,Norway
157,0.678,Oman
160,0.346,Pakistan
164,0.389,Papua New Guinea
165,0.575,Paraguay
167,0.566,Philippines
169,0.796,Poland
170,0.737,Portugal
98,,Qatar
174,0.715,Romania
175,0.746,Russia
181,,Saudi Arabia
185,0.709,Serbia
187,0.264,Sierra Leone
189,0.808,Singapore
191,0.861,Slovenia
201,0.456,South Africa
107,0.824,South Korea
193,0.758,Spain
195,0.61,Sri Lanka
182,0.869,Sweden
183,0.883,Switzerland
209,,Taiwan
211,0.663,Thailand
215,,Trinidad and Tobago
220,0.684,Turkey
225,0.708,Ukraine
232,0.745,United Arab Emirates
68,0.849,United Kingdom
233,0.812,United States
228,,Uzbekistan
231,0.652,Venezuela
234,0.582,Vietnam
33,,Virgin Islands (British)
89,0.297,Yemen
177,0.334,Zambia
