country,ISO3,year,gdp_per_capita,co2_per_capita
Andorra,AND,2000,54809.1441679423,7.9806256
Andorra,AND,2001,59109.0136806378,7.959651
Andorra,AND,2002,61188.6370851474,7.992899
Andorra,AND,2003,63656.1958332184,7.701912
Andorra,AND,2004,64353.4858113531,7.5454874
Andorra,AND,2005,65114.8053663021,7.433105
Andorra,AND,2006,66390.293726491,6.862631
Andorra,AND,2007,65534.1168555171,6.5804276
Andorra,AND,2008,60691.6051530637,6.452868
Andorra,AND,2009,57203.9708883731,6.1603327
Andorra,AND,2010,58285.0577756981,6.4034505
Andorra,AND,2011,60470.4662377044,6.314885
Andorra,AND,2012,58172.1323929474,6.344217
Andorra,AND,2013,57332.1585611366,6.336149
Andorra,AND,2014,59929.2444670501,6.264013
Andorra,AND,2015,62105.1542389675,6.449363
Andorra,AND,2016,64402.8092369468,6.5007763
Andorra,AND,2017,63239.6577711911,6.3609385
Andorra,AND,2018,63048.5985572834,6.6312327
Andorra,AND,2019,63215.899791913,6.423361
Andorra,AND,2020,55488.4902991095,4.926832
Andorra,AND,2021,59332.2029100127,5.239097
Andorra,AND,2022,63913.3835079105,5.2659054
Andorra,AND,2023,64631.2963909271,5.244343
Argentina,ARG,2000,22281.3814299958,3.8552415
Argentina,ARG,2001,21066.4581290433,3.5916998
Argentina,ARG,2002,18571.7020471274,3.2851255
Argentina,ARG,2003,20005.1385113465,3.499908
Argentina,ARG,2004,21591.449396517,4.046011
Argentina,ARG,2005,23262.4075792816,4.1203976
Argentina,ARG,2006,24877.2493922296,4.39929
Argentina,ARG,2007,26850.6645932771,4.3377132
Argentina,ARG,2008,27658.4853446831,4.634423
Argentina,ARG,2009,25747.1976809995,4.361317
Argentina,ARG,2010,28056.2570212342,4.5035615
Argentina,ARG,2011,29425.7593876084,4.5476246
Argentina,ARG,2012,28825.9666865361,4.53876
Argentina,ARG,2013,29227.6601818437,4.451081
Argentina,ARG,2014,28200.8152571318,4.3788686
Argentina,ARG,2015,28669.2061336796,4.41024
Argentina,ARG,2016,27802.1057201498,4.32618
Argentina,ARG,2017,28334.904184742,4.219999
Argentina,ARG,2018,27367.115094108,4.0443406
Argentina,ARG,2019,26629.5529419501,3.969191
Argentina,ARG,2020,23877.0931404855,3.65377
Argentina,ARG,2021,26300.274261175,4.217578
Argentina,ARG,2022,27627.9634764636,4.4943905
Argentina,ARG,2023,27104.9799978169,4.2998033
Armenia,ARM,2000,4589.00825039977,1.1170479
Armenia,ARM,2001,5044.11647826468,1.1453818
Armenia,ARM,2002,5731.35346609213,1.0069385
Armenia,ARM,2003,6569.26023440631,1.1370969
Armenia,ARM,2004,7299.40001858866,1.2212437
Armenia,ARM,2005,8362.90084037119,1.4556637
Armenia,ARM,2006,9525.23146779778,1.4719477
Armenia,ARM,2007,10898.8483795634,1.7144848
Armenia,ARM,2008,11727.4821272949,1.8834113
Armenia,ARM,2009,10143.2350796867,1.4813764
Armenia,ARM,2010,10438.5641904169,1.450935
Armenia,ARM,2011,10990.177099035,1.6997997
Armenia,ARM,2012,11796.2741177994,1.966913
Armenia,ARM,2013,12194.0189523843,1.8939363
Armenia,ARM,2014,12667.3757330249,1.9176472
Armenia,ARM,2015,13112.7600902915,1.8723351
Armenia,ARM,2016,13192.9940731731,1.7826151
Armenia,ARM,2017,14243.8749003795,1.9006206
Armenia,ARM,2018,15037.0452420712,2.0008378
Armenia,ARM,2019,16215.3607965094,2.164008
Armenia,ARM,2020,15052.9359791136,2.3506444
Armenia,ARM,2021,15921.705281964,2.5840976
Armenia,ARM,2022,17886.1783877168,2.4869792
Armenia,ARM,2023,19230.1899296884,2.584923
Australia,AUS,2000,45013.0099535152,18.293966
Australia,AUS,2001,45338.6834259568,18.475426
Australia,AUS,2002,46609.7441798787,18.501194
Australia,AUS,2003,47500.8351163647,18.649893
Australia,AUS,2004,48980.8931754432,19.113388
Australia,AUS,2005,49914.5146351829,19.02867
Australia,AUS,2006,50602.3502510337,19.055374
Australia,AUS,2007,51562.094012556,19.063927
Australia,AUS,2008,52351.5870495814,18.943853
Australia,AUS,2009,52254.3227326852,18.688644
Australia,AUS,2010,52589.8182081922,18.297338
Australia,AUS,2011,53112.5328692855,17.965439
Australia,AUS,2012,54237.5919075866,17.77464
Australia,AUS,2013,54699.3516156156,17.17437
Australia,AUS,2014,55288.1153378005,16.644192
Australia,AUS,2015,55691.6988499962,16.76538
Australia,AUS,2016,56341.5181616503,16.867634
Australia,AUS,2017,56684.6473338143,16.732754
Australia,AUS,2018,57450.3810363952,16.544464
Australia,AUS,2019,57837.0606876407,16.315792
Australia,AUS,2020,57059.7436441324,15.506062
Australia,AUS,2021,58182.3369477501,14.987446
Australia,AUS,2022,59883.6470356073,14.66979
Australia,AUS,2023,60447.1608783424,14.478505
Bangladesh,BGD,2000,2712.93512215725,0.19725306
Bangladesh,BGD,2001,2803.55471950946,0.22706808
Bangladesh,BGD,2002,2866.43454328715,0.23037542
Bangladesh,BGD,2003,2958.91503115633,0.2376082
Bangladesh,BGD,2004,3071.83778764611,0.25179237
Bangladesh,BGD,2005,3231.61370692891,0.26062736
Bangladesh,BGD,2006,3407.4273502159,0.2850008
Bangladesh,BGD,2007,3608.91543819399,0.28836748
Bangladesh,BGD,2008,3787.9382761855,0.3033399
Bangladesh,BGD,2009,3942.13631207203,0.3260236
Bangladesh,BGD,2010,4125.46390163202,0.35502523
Bangladesh,BGD,2011,4352.42643359325,0.36195287
