Country,ISO3,Year,TaxRevenue_percent_GDP
Andorra,AND,2000,
Andorra,AND,2001,
Andorra,AND,2002,
Andorra,AND,2003,
Andorra,AND,2004,
Andorra,AND,2005,
Andorra,AND,2006,
Andorra,AND,2007,
Andorra,AND,2008,
Andorra,AND,2009,
Andorra,AND,2010,
Andorra,AND,2011,
Andorra,AND,2012,
Andorra,AND,2013,
Andorra,AND,2014,
Andorra,AND,2015,
Andorra,AND,2016,
Andorra,AND,2017,
Andorra,AND,2018,
Andorra,AND,2019,
Andorra,AND,2020,
Andorra,AND,2021,
Argentina,ARG,2000,9.62260350188905
Argentina,ARG,2001,9.32489879390056
Argentina,ARG,2002,9.81895834666325
Argentina,ARG,2003,12.5187797002949
Argentina,ARG,2004,13.1007798994386
Argentina,ARG,2005,13.1031756459852
Argentina,ARG,2006,12.8788866954319
Argentina,ARG,2007,12.4482684483004
Argentina,ARG,2008,13.3178463574032
Argentina,ARG,2009,12.3830415594157
Argentina,ARG,2010,12.8530426903255
Argentina,ARG,2011,12.6636277012315
Argentina,ARG,2012,12.9528415127413
Argentina,ARG,2013,12.4529027558077
Argentina,ARG,2014,12.6109666067191
Argentina,ARG,2015,12.3365069418291
Argentina,ARG,2016,12.0972836411962
Argentina,ARG,2017,10.939623860491
Argentina,ARG,2018,9.99239008384335
Argentina,ARG,2019,10.5943975145081
Argentina,ARG,2020,10.8658963820494
Argentina,ARG,2021,11.5000669715845
Armenia,ARM,2000,
Armenia,ARM,2001,
Armenia,ARM,2002,
Armenia,ARM,2003,
Armenia,ARM,2004,13.9964056466186
Armenia,ARM,2005,14.3356634088462
Armenia,ARM,2006,14.3959865593942
Armenia,ARM,2007,15.962531729107
Armenia,ARM,2008,17.3217587321083
Armenia,ARM,2009,16.5058632327843
Armenia,ARM,2010,17.0700513990102
Armenia,ARM,2011,17.2194190490991
Armenia,ARM,2012,17.4916420766113
Armenia,ARM,2013,21.5862138752919
Armenia,ARM,2014,21.5991745525223
Armenia,ARM,2015,20.931220827141
Armenia,ARM,2016,21.2773752756378
Armenia,ARM,2017,20.7806533587524
Armenia,ARM,2018,20.8701039031814
Armenia,ARM,2019,22.2851709900772
Armenia,ARM,2020,21.8604192761626
Armenia,ARM,2021,22.0010047423132
Australia,AUS,2000,23.0241415839463
Australia,AUS,2001,24.8578601700306
Australia,AUS,2002,23.5481448774929
Australia,AUS,2003,24.2999696180339
Australia,AUS,2004,24.2582650629738
