職　種　名　（学歴）,,,,,"調　査
実人員","調 査 
事業所数","調査事
業所数
(復元後)",平  均  初  任  給  月  額,,,,,,,
,,,,,,,,企業規模計,,,,,,,
,,,,,,,,,,500人以上,,"100人以上
500人未満",," 50人以上 
100人未満",
,,,,,人,所,所,,円,,円,,円,,円
,,,,大学院博士課程修了,60 ,20 ,118 ,,"241,093",*,"254,964",*,"230,406",,-
,,,,大学院修士課程修了,"1,179 ",289 ,"1,878 ",,"222,188",,"227,952",,"213,748",*,"199,448"
新卒事務員,,,,大学卒,"10,864 ","2,232 ","12,346 ",,"197,294",,"200,417",,"194,846",,"193,476"
,,,,短大卒,"1,065 ",513 ,"2,620 ",,"169,564",,"173,185",,"166,163",,"169,644"
,,,,高校卒,"2,764 ",880 ,"3,873 ",,"158,199",,"160,209",,"157,065",,"156,386"
,,,,大学院博士課程修了,131 ,44 ,225 ,,"256,166",,"261,183",,"240,046",,-
,,,,大学院修士課程修了,"4,204 ",622 ,"3,345 ",,"223,355",,"228,897",,"216,407",,"209,277"
新卒技術者,,,,大学卒,"5,297 ","1,267 ","6,526 ",,"201,932",,"206,404",,"199,574",,"198,027"
,,,,短大卒,"1,229 ",530 ,"2,563 ",,"181,462",,"182,658",,"180,989",,"178,743"
,,,,高校卒,"3,777 ",907 ,"4,078 ",,"163,572",,"164,368",,"162,644",,"164,589"
,,,,大学院博士課程修了,28 ,18 ,80 ,,"262,996",,"269,562",*,"248,098",,-
新卒研究員,,,,大学院修士課程修了,355 ,82 ,382 ,,"230,062",,"236,658",,"219,549",,x
,,,,大学卒,119 ,44 ,181 ,,"211,706",,"227,609",,"200,099",*,"185,369"
新卒研究補助員,,,,短大卒,13 ,6 ,25 ,*,"184,545",*,"190,323",*,"174,660",,-
,,,,高校卒,31 ,11 ,60 ,,"162,990",*,"164,757",*,"156,467",,x
準新卒医師,,,,,158 ,31 ,259 ,,"391,011",,"359,530",*,"504,793",,-
準新卒薬剤師,,,,,181 ,73 ,678 ,,"225,244",,"225,364",,"227,026",,x
準新卒診療放射線技師 ,,,,,23 ,21 ,168 ,,"196,187",*,"191,359",,"201,725",,-
新卒栄養士,,,,大学卒,60 ,33 ,330 ,,"180,764",,"183,215",,"178,521",,-
,,,,短大卒,12 ,6 ,41 ,*,"170,714",*,"171,062",*,"170,202",,-
準新卒看護師,,,,,"1,563 ",194 ,"1,721 ",,"211,346",,"212,673",,"209,320",*,"226,400"
準新卒准看護師,,,,,41 ,24 ,204 ,,"182,289",*,"181,299",,"182,720",,-
,,,,大学院博士課程修了,9 ,6 ,23 ,*,"296,798",*,"287,834",,x,,x
新卒大学助教,,,,大学院修士課程修了,40 ,5 ,18 ,*,"274,726",*,"284,639",*,"258,646",,-
,,,,大学卒,1 ,1 ,2 ,,x,,-,,x,,-
新卒高等学校教諭,,,,大学院修士課程修了,6 ,6 ,19 ,*,"234,670",*,"246,109",*,"223,435",,-
,,,,大学卒,50 ,24 ,101 ,,"206,069",*,"214,139",,"203,602",,-
新卒船員（海上技術学校本科卒 ）,,,,,3 ,2 ,7 ,*,"235,879",,-,*,"235,879",,-
