表２　初任給関係職種の職種別事業所数等及び平均初任給月額,,,,,,,,,,,
職種名（学歴）,調査実人員,調査事業所数,調査事業所数（復元後）,平均初任給月額・企業規模計,「平均初任給月額・企業規模計」の備考,平均初任給月額・企業規模500人以上,「平均初任給月額・企業規模500人以上」の備考,平均初任給月額・企業規模100人以上500人未満,「平均初任給月額・企業規模100人以上500人未満」の備考,平均初任給月額・企業規模50人以上100人未満,「平均初任給月額・企業規模50人以上100人未満」の備考
,人,所,所,円,,円,,円,,円,
新卒事務員（大学院博士課程修了）,19,12,85,252373,,268392,*,236526,*,***,
新卒事務員（大学院修士課程修了）,1012,249,1701,234058,,237903,,227014,,218225,*
新卒事務員（大学卒）,9144,1837,10907,205990,,208733,,204636,,198083,
新卒事務員（短大卒）,832,378,2010,181022,,182861,,181044,,173493,
新卒事務員（高校卒）,2150,697,3229,166591,,168823,,165520,,163125,
新卒技術者（大学院博士課程修了）,76,48,314,260333,,268720,,248038,,X,
新卒技術者（大学院修士課程修了）,3429,568,3357,232483,,236835,,226118,,225152,
新卒技術者（大学卒）,5243,1182,6912,209147,,213333,,206920,,204504,
新卒技術者（短大卒）,1042,511,2716,189535,,190700,,189852,,183836,
新卒技術者（高校卒）,3823,976,4871,170502,,171112,,170268,,169489,
新卒研究員（大学院博士課程修了）,46,25,134,263804,,271774,,225983,*,260788,*
新卒研究員（大学院修士課程修了）,365,86,492,236255,,238406,,230569,,X,
新卒研究員（大学卒）,61,30,184,213559,,217908,,208085,,***,
新卒研究補助員（短大卒）,11,8,28,189640,*,192492,*,181470,*,***,
新卒研究補助員（高校卒）,14,9,48,174620,*,178020,*,174669,*,168993,*
新卒大学助教（大学院博士課程修了）,8,6,39,296841,*,***,,297253,*,X,
新卒大学助教（大学院修士課程修了）,3,3,7,231399,*,X,,229253,*,***,
新卒大学助教（大学卒）,1,1,2,X,,X,,***,,***,
新卒高等学校教諭（大学院修士課程修了）,10,9,31,240975,*,248972,*,227497,*,***,
新卒高等学校教諭（大学卒）,32,26,74,217197,,233097,*,211543,,X,
新卒船員（海上技術学校本科卒 ）,10,5,28,190883,*,***,,186784,*,191908,*
(注)１　平均初任給月額は、採用のある事業所の平均である。２　「*」は、調査事業所が10事業所以下であることを示す。,,,,,,,,,,,
