表２　初任給関係職種の職種別事業所数等及び平均初任給月額,,,,,,,,,,
職種名（学歴）,調査事業所数,調査事業所数（復元後）,平均初任給月額・企業規模計,「平均初任給月額・企業規模計」の備考,平均初任給月額・企業規模500人以上,「平均初任給月額・企業規模500人以上」の備考,平均初任給月額・企業規模100人以上500人未満,「平均初任給月額・企業規模100人以上500人未満」の備考,平均初任給月額・企業規模50人以上100人未満,「平均初任給月額・企業規模50人以上100人未満」の備考
,所,所,円,,円,,円,,円,
新卒事務員（大学院博士課程修了）,14,86,272914,,288600,*,239996,*,***,
新卒事務員（大学院修士課程修了）,307,2164,234747,,238052,,229943,,231304,*
新卒事務員（大学卒）,1938,11507,207878,,211512,,205707,,200341,
新卒事務員（短大卒）,376,1988,183878,,187819,,181522,,178215,
新卒事務員（高校卒）,730,3470,168820,,171541,,167795,,164796,
新卒技術者（大学院博士課程修了）,48,355,266052,,273166,,238375,*,X,
新卒技術者（大学院修士課程修了）,606,3692,232336,,236666,,225230,,226384,
新卒技術者（大学卒）,1208,7244,210758,,216070,,207549,,206871,
新卒技術者（短大卒）,586,3183,190616,,191650,,189863,,189345,
新卒技術者（高校卒）,1039,5120,172085,,172862,,170900,,173561,
新卒研究員（大学院博士課程修了）,26,144,279555,,281643,,266491,*,***,
新卒研究員（大学院修士課程修了）,85,439,235874,,238604,,230283,,X,
新卒研究員（大学卒）,29,161,212722,,210546,,214662,,213373,*
新卒研究補助員（短大卒）,9,62,201355,*,198670,*,202183,*,***,
新卒研究補助員（高校卒）,13,73,187436,,179163,*,193156,*,***,
新卒大学助教（大学院博士課程修了）,2,8,288190,*,***,,288190,*,***,
新卒大学助教（大学院修士課程修了）,2,12,270140,*,***,,270140,*,***,
新卒大学助教（大学卒）,3,20,226325,*,***,,226325,*,***,
新卒高等学校教諭（大学院修士課程修了）,4,23,248381,*,***,,244227,*,X,
新卒高等学校教諭（大学卒）,25,92,219598,,222392,*,218749,,218840,*
新卒船員（海上技術学校本科卒 ）,4,14,199626,*,***,,207164,*,185807,*
(注)１　平均初任給月額は、採用のある事業所の平均である。２　「*」は、調査事業所が10事業所以下であることを示す。,,,,,,,,,,
