表２　初任給関係職種の職種別事業所数等及び平均初任給月額,,,,,,,,,,
職種名（学歴）,調査事業所数,調査事業所数（復元後）,平均初任給月額・企業規模計,「平均初任給月額・企業規模計」の備考,平均初任給月額・企業規模500人以上,「平均初任給月額・企業規模500人以上」の備考,平均初任給月額・企業規模100人以上500人未満,「平均初任給月額・企業規模100人以上500人未満」の備考,平均初任給月額・企業規模50人以上100人未満,「平均初任給月額・企業規模50人以上100人未満」の備考
,所,所,円,,円,,円,,円,
新卒事務員（大学院博士課程修了）,20,169,274300,,280457,,247782,*,***,
新卒事務員（大学院修士課程修了）,286,2084,254793,,258772,,245268,,256787,
新卒事務員（大学卒）,2005,12827,220368,,226469,,214437,,214930,
新卒事務員（短大卒）,439,2559,190835,,193196,,188966,,187257,
新卒事務員（高校卒）,847,4217,179570,,184141,,175537,,177999,
新卒技術者（大学院博士課程修了）,51,328,293986,,293902,,294967,*,***,
新卒技術者（大学院修士課程修了）,573,3479,253778,,261567,,240671,,224707,
新卒技術者（大学卒）,1188,7296,225914,,235998,,219000,,216258,
新卒技術者（短大卒）,573,3292,206271,,213345,,200234,,194907,
新卒技術者（高校卒）,1019,5178,185524,,189643,,182467,,181453,
新卒研究員（大学院博士課程修了）,21,92,292930,,295534,,X,,X,
新卒研究員（大学院修士課程修了）,67,346,251949,,259231,,243199,,X,
新卒研究員（大学卒）,37,220,232898,,239562,,217802,,***,
新卒研究補助員（短大卒）,8,48,219789,*,227366,*,185298,*,***,
新卒研究補助員（高校卒）,5,34,187236,*,187866,*,X,,***,
準新卒医師,25,325,450084,,448394,,459518,*,***,
準新卒薬剤師,44,613,244517,,237539,,263711,,***,
準新卒診療放射線技師 ,12,164,199422,,193167,*,213467,*,***,
新卒栄養士（大学卒）,33,327,193621,,195655,,190224,,***,
新卒栄養士（短大卒）,5,104,189521,*,190709,*,X,,***,
準新卒看護師,133,1618,219315,,221389,,216518,,X,
準新卒准看護師,6,63,184416,*,X,,185756,*,***,
新卒大学助教（大学院博士課程修了）,5,19,325172,*,332251,*,315100,*,***,
新卒大学助教（大学院修士課程修了）,***,***,***,,***,,***,,***,
新卒大学助教（大学卒）,1,2,X,,***,,X,,***,
新卒高等学校教諭（大学院修士課程修了）,5,33,259681,*,***,,259681,*,***,
新卒高等学校教諭（大学卒）,13,50,218925,,220000,*,215886,*,X,
新卒船員（海上技術学校本科卒 ）,4,14,212716,*,***,,230132,*,X,
(注)１　平均初任給月額は、採用のある事業所の平均である。２　「準新卒」とは、令和５年度中に資格免許を取得し、令和６年４月までの間に採用された場合をいう。なお、医師については、令和３年３月又は令和４年３月に大学卒業後、免許を取得し、２年間の臨床研修を修了した後、令和６年４月までの間に採用された者（令和５年４月採用者は除く）に限っている。３　「*」は、調査事業所が10事業所以下であることを示す。,,,,,,,,,,
