indicator,country,countryiso3code,date,value,unit,obs_status,decimal
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2023,64631.2963909271,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2022,63913.3835079105,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2021,59332.2029100127,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2020,55488.4902991095,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2019,63215.899791913,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2018,63048.5985572834,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2017,63239.6577711911,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2016,64402.8092369468,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2015,62105.1542389675,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2014,59929.2444670501,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2013,57332.1585611366,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2012,58172.1323929474,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2011,60470.4662377044,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2010,58285.0577756981,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2009,57203.9708883731,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2008,60691.6051530637,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2007,65534.1168555171,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2006,66390.293726491,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2005,65114.8053663021,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2004,64353.4858113531,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2003,63656.1958332184,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2002,61188.6370851474,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2001,59109.0136806378,,,0
"GDP per capita, PPP (constant 2021 international $)",Andorra,AND,2000,54809.1441679423,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2023,27104.9799978169,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2022,27627.9634764636,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2021,26300.274261175,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2020,23877.0931404855,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2019,26629.5529419501,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2018,27367.115094108,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2017,28334.904184742,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2016,27802.1057201498,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2015,28669.2061336796,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2014,28200.8152571318,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2013,29227.6601818437,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2012,28825.9666865361,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2011,29425.7593876084,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2010,28056.2570212342,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2009,25747.1976809995,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2008,27658.4853446831,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2007,26850.6645932771,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2006,24877.2493922296,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2005,23262.4075792816,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2004,21591.449396517,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2003,20005.1385113465,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2002,18571.7020471274,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2001,21066.4581290433,,,0
"GDP per capita, PPP (constant 2021 international $)",Argentina,ARG,2000,22281.3814299958,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2023,19230.1899296884,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2022,17886.1783877168,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2021,15921.705281964,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2020,15052.9359791136,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2019,16215.3607965094,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2018,15037.0452420712,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2017,14243.8749003795,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2016,13192.9940731731,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2015,13112.7600902915,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2014,12667.3757330249,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2013,12194.0189523843,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2012,11796.2741177994,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2011,10990.177099035,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2010,10438.5641904169,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2009,10143.2350796867,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2008,11727.4821272949,,,0
"GDP per capita, PPP (constant 2021 international $)",Armenia,ARM,2007,10898.8483795634,,,0
