"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,
"Austria","122","Product market - S2 - Electricity - Unbundling","prdm_elec_unb","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2",
"Austria","122","Product market - S2 - Electricity - Regulation","prdm_elec_reg","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"Austria","122","Product market - S2 - Electricity - Ownership","prdm_elec_own","Value","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"Austria","122","Labor market - S1 - Valid grounds","labor_vg","Value","0.8154362","0.8154362","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745","0.761745",
"Austria","122","Labor market - S1 - Firing costs","labor_fc","Value","0.8082058","0.8082058","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781","0.8107781",
"Austria","122","Labor market - S1 - Redress measures","labor_rm","Value","1","1","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516","0.7674516",
"Azerbaijan","912","External finance - Overall","extfin","Value",,,,,,,,,,,,,,,,,,,,"0.375","0.375","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.5","0.625","0.75","0.75","0.75","0.75","0.75","0.75","0.75",
"Azerbaijan","912","Domestic finance - Overall","domfin","Value",,,,,,,,,,,,,,,,,,,"0.2777778","0.2777778","0.2777778","0.2777778","0.3333333","0.4444444","0.3888889","0.3888889","0.3888889","0.3888889","0.4444444","0.5555556","0.5555556","0.6666667","0.7222222","0.6111111","0.7222222","0.6666667","0.7222222","0.6111111","0.6111111","0.6111111","0.6111111","0.5555556",
"Azerbaijan","912","Labor market - Overall","labor","Value",,,,,,,,,,,,,,,,,,,,,,,,,"0.5250968","0.5250968","0.5250968","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246","0.5890246",
"Azerbaijan","912","Trade - S1 - Tariffs","trade_tariffs","Value",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.831","0.831","0.831","0.8261667","0.8261667","0.8601667","0.8623334","0.8613333","0.8613333","0.8621666","0.8611667","0.8611667","0.858",
"Azerbaijan","912","Trade - S2 - Restrictions on payments for service imports ","trade_ca_ms","Value",,,,,,,,,,,,,,,,,,,,"0.5","0.5","1.5","1.5","0.5","0.5","0.5","0.5","0.5","0.5","2","2","0.5","0.5","1","1","1","1","1","1","1","1","1",
"Azerbaijan","912","Trade - S2 - Restrictions on receipts from good exports ","trade_ca_xg","Value",,,,,,,,,,,,,,,,,,,,"0.5","0.5","0.5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1",
"Azerbaijan","912","External finance - S1 - Capital outflow restrictions","extfin_out","Value",,,,,,,,,,,,,,,,,,,,"0.5","0.5","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1.5","1.5","1.5","1.5","1.5","1.5","1.5",
"Azerbaijan","912","Domestic finance - S1 - Credit controls","domfin_credit","Value",,,,,,,,,,,,,,,,,,,"1","1","1","1","2","2","3","3","3","3","3","3","3","3","3","3","3","2","3","1","1","1","1","1",
