country_id,year,v2x_polyarchy,v2x_libdem
3,1945,0.191,0.093
3,1946,0.192,0.094
3,1947,0.193,0.094
3,1948,0.193,0.094
3,1949,0.196,0.094
3,1950,0.197,0.095
3,1951,0.197,0.095
3,1952,0.197,0.095
3,1953,0.196,0.096
3,1954,0.23,0.106
3,1955,0.232,0.106
3,1956,0.233,0.106
3,1957,0.233,0.106
3,1958,0.232,0.105
3,1959,0.232,0.105
3,1960,0.231,0.106
3,1961,0.232,0.106
3,1962,0.232,0.106
3,1963,0.232,0.106
3,1964,0.231,0.105
3,1965,0.231,0.105
3,1966,0.231,0.105
3,1967,0.236,0.106
3,1968,0.236,0.106
3,1969,0.241,0.107
3,1970,0.248,0.108
3,1971,0.246,0.107
3,1972,0.249,0.109
3,1973,0.249,0.109
3,1974,0.249,0.108
3,1975,0.249,0.108
3,1976,0.261,0.111
3,1977,0.273,0.12
3,1978,0.296,0.126
3,1979,0.296,0.126
3,1980,0.299,0.128
3,1981,0.304,0.129
3,1982,0.313,0.136
3,1983,0.319,0.142
3,1984,0.319,0.142
3,1985,0.322,0.143
3,1986,0.325,0.144
3,1987,0.329,0.147
3,1988,0.343,0.158
3,1989,0.367,0.175
3,1990,0.389,0.188
3,1991,0.412,0.198
3,1992,0.437,0.212
3,1993,0.447,0.216
3,1994,0.47,0.259
3,1995,0.48,0.275
3,1996,0.508,0.289
3,1997,0.556,0.349
3,1998,0.598,0.377
3,1999,0.602,0.38
3,2000,0.664,0.481
3,2001,0.677,0.489
3,2002,0.688,0.495
3,2003,0.699,0.502
3,2004,0.71,0.511
3,2005,0.71,0.511
3,2006,0.671,0.479
3,2007,0.637,0.452
3,2008,0.642,0.455
3,2009,0.648,0.46
3,2010,0.661,0.47
3,2011,0.66,0.469
3,2012,0.649,0.461
3,2013,0.623,0.425
3,2014,0.62,0.424
3,2015,0.639,0.433
3,2016,0.64,0.433
3,2017,0.635,0.439
3,2018,0.675,0.455
3,2019,0.685,0.434
3,2020,0.663,0.406
3,2021,0.618,0.37
3,2022,0.586,0.334
3,2023,0.549,0.307
3,2024,0.505,0.251
4,1945,0.152,0.156
4,1946,0.155,0.161
4,1947,0.155,0.161
4,1948,0.155,0.161
4,1949,0.306,0.262
4,1950,0.502,0.411
4,1951,0.502,0.411
4,1952,0.502,0.411
4,1953,0.502,0.411
4,1954,0.502,0.411
4,1955,0.525,0.43
4,1956,0.525,0.43
4,1957,0.526,0.432
4,1958,0.526,0.432
4,1959,0.526,0.431
4,1960,0.526,0.431
4,1961,0.526,0.431
4,1962,0.526,0.431
4,1963,0.527,0.433
4,1964,0.527,0.434
4,1965,0.527,0.434
4,1966,0.527,0.434
4,1967,0.527,0.433
4,1968,0.527,0.432
4,1969,0.526,0.432
4,1970,0.527,0.434
4,1971,0.527,0.434
4,1972,0.527,0.434
4,1973,0.524,0.433
4,1974,0.528,0.437
4,1975,0.371,0.341
4,1976,0.731,0.62
4,1977,0.732,0.615
4,1978,0.742,0.627
4,1979,0.742,0.627
4,1980,0.221,0.176
4,1981,0.174,0.144
4,1982,0.167,0.143
4,1983,0.163,0.142
4,1984,0.163,0.142
4,1985,0.172,0.188
4,1986,0.171,0.188
4,1987,0.194,0.226
4,1988,0.623,0.477
4,1989,0.731,0.577
4,1990,0.731,0.559
4,1991,0.451,0.375
4,1992,0.755,0.63
4,1993,0.757,0.639
4,1994,0.757,0.642
4,1995,0.757,0.642
4,1996,0.768,0.653
4,1997,0.773,0.658
4,1998,0.773,0.658
4,1999,0.773,0.658
4,2000,0.784,0.667
4,2001,0.779,0.665
4,2002,0.779,0.665
4,2003,0.779,0.665
4,2004,0.779,0.665
4,2005,0.776,0.661
4,2006,0.774,0.658
4,2007,0.771,0.657
4,2008,0.772,0.658
4,2009,0.772,0.658
4,2010,0.762,0.637
4,2011,0.753,0.629
4,2012,0.753,0.63
4,2013,0.755,0.631
4,2014,0.755,0.631
4,2015,0.762,0.637
4,2016,0.767,0.63
4,2017,0.757,0.632
4,2018,0.76,0.622
4,2019,0.756,0.593
4,2020,0.76,0.641
4,2021,0.764,0.643
4,2022,0.78,0.655
4,2023,0.768,0.639
4,2024,0.768,0.637
5,1945,0.69,0.638
5,1946,0.757,0.704
5,1947,0.76,0.706
5,1948,0.759,0.706
5,1949,0.765,0.713
5,1950,0.769,0.718
5,1951,0.769,0.718
5,1952,0.77,0.72
5,1953,0.773,0.723
5,1954,0.773,0.723
5,1955,0.773,0.723
5,1956,0.772,0.722
5,1957,0.772,0.722
5,1958,0.772,0.722
5,1959,0.772,0.721
5,1960,0.776,0.727
5,1961,0.775,0.727
5,1962,0.775,0.728
5,1963,0.775,0.728
5,1964,0.776,0.728
5,1965,0.778,0.73
5,1966,0.776,0.728
5,1967,0.776,0.728
5,1968,0.776,0.728
5,1969,0.776,0.728
5,1970,0.776,0.729
5,1971,0.895,0.852
5,1972,0.895,0.856
5,1973,0.896,0.858
5,1974,0.901,0.865
5,1975,0.906,0.869
5,1976,0.908,0.871
5,1977,0.909,0.874
5,1978,0.909,0.874
5,1979,0.909,0.874
5,1980,0.911,0.876
5,1981,0.911,0.876
5,1982,0.91,0.875
5,1983,0.908,0.872
5,1984,0.908,0.872
5,1985,0.909,0.874
5,1986,0.907,0.872
5,1987,0.907,0.872
5,1988,0.908,0.873
5,1989,0.91,0.874
5,1990,0.912,0.877
5,1991,0.912,0.876
5,1992,0.912,0.876
5,1993,0.912,0.879
5,1994,0.912,0.878
5,1995,0.912,0.878
5,1996,0.912,0.878
5,1997,0.912,0.878
5,1998,0.912,0.878
5,1999,0.911,0.877
5,2000,0.911,0.877
5,2001,0.911,0.877
5,2002,0.91,0.876
5,2003,0.909,0.874
5,2004,0.909,0.874
5,2005,0.909,0.874
5,2006,0.911,0.877
5,2007,0.915,0.881
5,2008,0.915,0.881
5,2009,0.915,0.881
5,2010,0.915,0.882
5,2011,0.917,0.884
5,2012,0.918,0.887
5,2013,0.918,0.887
5,2014,0.916,0.886
5,2015,0.916,0.883
5,2016,0.917,0.884
5,2017,0.917,0.884
5,2018,0.91,0.878
5,2019,0.902,0.871
5,2020,0.902,0.87
5,2021,0.903,0.869
5,2022,0.896,0.864
5,2023,0.881,0.845
5,2024,0.881,0.845
6,1945,0.606,0.553
6,1946,0.62,0.563
6,1947,0.62,0.563
6,1948,0.619,0.563
6,1949,0.619,0.563
6,1950,0.619,0.563
6,1951,0.619,0.563
6,1952,0.619,0.564
6,1953,0.619,0.564
6,1954,0.619,0.564
6,1955,0.619,0.564
6,1956,0.617,0.562
6,1957,0.617,0.562
6,1958,0.617,0.562
6,1959,0.618,0.562
6,1960,0.622,0.567
6,1961,0.622,0.567
6,1962,0.622,0.567
6,1963,0.623,0.567
6,1964,0.624,0.57
6,1965,0.624,0.57
6,1966,0.624,0.57
6,1967,0.626,0.572
6,1968,0.625,0.572
6,1969,0.625,0.572
6,1970,0.627,0.573
6,1971,0.63,0.576
6,1972,0.856,0.791
6,1973,0.856,0.791
6,1974,0.856,0.796
6,1975,0.861,0.801
6,1976,0.862,0.802
6,1977,0.868,0.808
6,1978,0.868,0.808
6,1979,0.867,0.807
6,1980,0.871,0.811
6,1981,0.871,0.813
6,1982,0.871,0.813
6,1983,0.871,0.813
6,1984,0.871,0.815
6,1985,0.871,0.815
6,1986,0.871,0.815
6,1987,0.871,0.815
6,1988,0.871,0.814
6,1989,0.876,0.818
6,1990,0.886,0.83
6,1991,0.886,0.831
6,1992,0.883,0.827
6,1993,0.883,0.832
6,1994,0.883,0.832
6,1995,0.884,0.833
6,1996,0.889,0.838
6,1997,0.889,0.838
6,1998,0.889,0.838
6,1999,0.889,0.838
6,2000,0.889,0.838
6,2001,0.889,0.838
6,2002,0.889,0.839
6,2003,0.889,0.843
