Country,ISO3,Year,Health_Expenditure,Dependency_Ratio
Andorra,AND,2000,5.95276403,38.2609244758777
Andorra,AND,2001,5.85823727,38.9898478228751
Andorra,AND,2002,5.99621153,39.5564042303173
Andorra,AND,2003,5.54771519,38.8803389762757
Andorra,AND,2004,5.28846931,37.3267802372418
Andorra,AND,2005,5.59476948,36.7306571534535
Andorra,AND,2006,4.96530008,36.5890914083685
Andorra,AND,2007,4.92347288,36.3435022980084
Andorra,AND,2008,5.67066383,36.443115338105
Andorra,AND,2009,6.08094168,37.0265105110991
Andorra,AND,2010,7.67537737,38.3349616907492
Andorra,AND,2011,7.62060833,39.2481203007519
Andorra,AND,2012,6.71083689,39.2727668213457
Andorra,AND,2013,6.79964209,39.4617752884009
Andorra,AND,2014,6.77308035,39.5371281507834
Andorra,AND,2015,6.91586447,39.3616405028095
Andorra,AND,2016,6.90521765,39.1038735787242
Andorra,AND,2017,7.07142639,38.7983591750715
Andorra,AND,2018,7.37541723,38.3256344663857
Andorra,AND,2019,7.323246,38.0123080254823
Andorra,AND,2020,8.78673935,38.1539010890912
Argentina,ARG,2000,8.22001076,60.8399424011737
Argentina,ARG,2001,8.37179852,60.442088771688
Argentina,ARG,2002,7.3933115,60.0100181534326
Argentina,ARG,2003,6.89451647,59.5157720560259
Argentina,ARG,2004,7.22868252,58.9908808603745
Argentina,ARG,2005,7.61078882,58.4885317167095
Argentina,ARG,2006,7.64032793,58.0003526705021
Argentina,ARG,2007,7.83455086,57.5050434620378
Argentina,ARG,2008,8.1826973,57.0741876732807
Argentina,ARG,2009,9.45599556,56.735685768345
Argentina,ARG,2010,9.44546413,56.452142111234
Argentina,ARG,2011,9.41819859,56.2739537637124
Argentina,ARG,2012,9.82726669,56.1467747951315
Argentina,ARG,2013,9.78097916,56.0487044709811
Argentina,ARG,2014,9.67129993,56.0256427923844
Argentina,ARG,2015,10.22933674,56.0522891497333
Argentina,ARG,2016,9.85558891,56.0461721346243
Argentina,ARG,2017,10.23174763,55.9728015245357
Argentina,ARG,2018,10.29146862,55.8529254060554
Argentina,ARG,2019,10.1555109,55.5931801951266
Argentina,ARG,2020,10.45030594,55.0207968902513
Armenia,ARM,2000,4.19581175,54.813388611356
Armenia,ARM,2001,4.64563894,52.4889483731996
Armenia,ARM,2002,7.61358786,51.0703531395798
Armenia,ARM,2003,7.17936182,50.0136226039065
Armenia,ARM,2004,6.05510139,48.9919306433595
Armenia,ARM,2005,5.8618803,47.8193074702708
