country,year,gdppc
Belarus,1973,8341.0
Belarus,1974,
Belarus,1975,
Belarus,1976,
Belarus,1977,
Belarus,1978,
Belarus,1979,
Belarus,1980,9487.0
Belarus,1981,9844.0
Belarus,1982,10217.0
Belarus,1983,10667.0
Belarus,1984,10957.0
Belarus,1985,11000.0
Belarus,1986,11230.0
Belarus,1987,11297.0
Belarus,1988,11198.0
Belarus,1989,11893.0
Belarus,1990,11467.0
Belarus,1991,11170.761076510915
Belarus,1992,9960.843147824904
Belarus,1993,9077.439997808402
Belarus,1994,7932.001039288072
Belarus,1995,6993.622120912842
Belarus,1996,7128.354653886732
Belarus,1997,7885.01962037309
Belarus,1998,8481.967108913179
Belarus,1999,8689.713251926989
Belarus,2000,9110.979461261824
Belarus,2001,9462.373906917526
Belarus,2002,9870.308515825362
Belarus,2003,10492.987004400124
Belarus,2004,11615.685585132174
Belarus,2005,12629.558047952214
Belarus,2006,13792.553571309354
Belarus,2007,14856.955773777863
Belarus,2008,16223.996807883905
Belarus,2009,16088.725028100594
Belarus,2010,17172.460341933234
Belarus,2011,17918.0
Belarus,2012,18245.00752051267
Belarus,2013,18456.410667499407
Belarus,2014,18805.178759987022
Belarus,2015,18122.864046120045
Belarus,2016,17701.959316898497
Belarus,2017,18193.273100172584
Belarus,2018,18809.49500085152
Belarus,2019,19130.393987789008
Belarus,2020,19053.15702050917
Belarus,2021,19541.914363354965
Belarus,2022,18699.798236612733
Poland,1,
Poland,730,
Poland,1000,
Poland,1090,
Poland,1150,
Poland,1252,
Poland,1253,
Poland,1254,
Poland,1255,
Poland,1256,
Poland,1257,
Poland,1258,
Poland,1259,
Poland,1260,
Poland,1261,
Poland,1262,
Poland,1263,
Poland,1264,
Poland,1265,
Poland,1266,
Poland,1267,
Poland,1268,
Poland,1269,
Poland,1270,
Poland,1271,
Poland,1272,
Poland,1273,
Poland,1274,
Poland,1275,
Poland,1276,
Poland,1277,
Poland,1278,
Poland,1279,
Poland,1280,
Poland,1281,
Poland,1282,
Poland,1283,
Poland,1284,
Poland,1285,
Poland,1286,
Poland,1287,
Poland,1288,
Poland,1289,
Poland,1290,
Poland,1291,
Poland,1292,
Poland,1293,
Poland,1294,
Poland,1295,
Poland,1296,
Poland,1297,
Poland,1298,
Poland,1299,
Poland,1300,
Poland,1301,
Poland,1302,
Poland,1303,
Poland,1304,
Poland,1305,
Poland,1306,
Poland,1307,
Poland,1308,
Poland,1309,
Poland,1310,
Poland,1311,
Poland,1312,
Poland,1313,
Poland,1314,
Poland,1315,
Poland,1316,
Poland,1317,
Poland,1318,
Poland,1319,
Poland,1320,
Poland,1321,
Poland,1322,
Poland,1323,
Poland,1324,
Poland,1325,
Poland,1326,
Poland,1327,
Poland,1328,
Poland,1329,
Poland,1330,
Poland,1331,
Poland,1332,
Poland,1333,
Poland,1334,
Poland,1335,
Poland,1336,
Poland,1337,
Poland,1338,
Poland,1339,
Poland,1340,
Poland,1341,
Poland,1342,
Poland,1343,
Poland,1344,
Poland,1345,
Poland,1346,
Poland,1347,
Poland,1348,
Poland,1349,
Poland,1350,
Poland,1351,
Poland,1352,
Poland,1353,
Poland,1354,
Poland,1355,
Poland,1356,
Poland,1357,
Poland,1358,
Poland,1359,
Poland,1360,
Poland,1361,
Poland,1362,
Poland,1363,
Poland,1364,
Poland,1365,
Poland,1366,
Poland,1367,
Poland,1368,
Poland,1369,
Poland,1370,
Poland,1371,
Poland,1372,
Poland,1373,
Poland,1374,
Poland,1375,
Poland,1376,
Poland,1377,
Poland,1378,
Poland,1379,
Poland,1380,
Poland,1381,
Poland,1382,
Poland,1383,
Poland,1384,
Poland,1385,
Poland,1386,
Poland,1387,
Poland,1388,
Poland,1389,
Poland,1390,
Poland,1391,
Poland,1392,
Poland,1393,
Poland,1394,
Poland,1395,
Poland,1396,
Poland,1397,
Poland,1398,
Poland,1399,
Poland,1400,956.0
Poland,1401,
Poland,1402,
Poland,1403,
Poland,1404,
Poland,1405,
Poland,1406,
Poland,1407,
Poland,1408,
Poland,1409,894.0
Poland,1410,896.0
Poland,1411,897.0
Poland,1412,899.0
Poland,1413,899.0
Poland,1414,902.0
Poland,1415,928.0
Poland,1416,939.0
Poland,1417,948.0
Poland,1418,960.0
Poland,1419,969.0
Poland,1420,980.0
Poland,1421,988.0
Poland,1422,998.0
Poland,1423,1007.0
Poland,1424,1020.0
Poland,1425,1030.0
Poland,1426,1019.0
Poland,1427,1020.0
Poland,1428,1022.0
Poland,1429,1020.0
Poland,1430,1019.0
Poland,1431,1017.0
Poland,1432,1014.0
Poland,1433,1009.0
Poland,1434,1006.0
Poland,1435,996.0
Poland,1436,990.0
Poland,1437,980.0
Poland,1438,969.0
Poland,1439,958.0
Poland,1440,948.0
Poland,1441,940.0
Poland,1442,931.0
Poland,1443,925.0
Poland,1444,920.0
Poland,1445,913.0
Poland,1446,909.0
Poland,1447,905.0
Poland,1448,904.0
Poland,1449,905.0
Poland,1450,905.0
Poland,1451,907.0
Poland,1452,907.0
Poland,1453,909.0
Poland,1454,910.0
Poland,1455,910.0
Poland,1456,901.0
Poland,1457,889.0
Poland,1458,878.0
Poland,1459,869.0
Poland,1460,858.0
Poland,1461,846.0
Poland,1462,835.0
Poland,1463,822.0
Poland,1464,811.0
Poland,1465,800.0
Poland,1466,789.0
Poland,1467,789.0
Poland,1468,791.0
Poland,1469,791.0
Poland,1470,791.0
Poland,1471,789.0
Poland,1472,792.0
Poland,1473,802.0
Poland,1474,810.0
Poland,1475,818.0
Poland,1476,826.0
Poland,1477,837.0
Poland,1478,845.0
Poland,1479,850.0
Poland,1480,856.0
Poland,1481,866.0
Poland,1482,885.0
Poland,1483,878.0
Poland,1484,869.0
Poland,1485,861.0
Poland,1486,850.0
Poland,1487,845.0
Poland,1488,845.0
Poland,1489,842.0
Poland,1490,845.0
Poland,1491,846.0
Poland,1492,850.0
Poland,1493,846.0
Poland,1494,866.0
Poland,1495,885.0
Poland,1496,897.0
Poland,1497,918.0
Poland,1498,931.0
Poland,1499,932.0
Poland,1500,944.0
Poland,1501,952.0
Poland,1502,960.0
Poland,1503,948.0
Poland,1504,929.0
Poland,1505,931.0
Poland,1506,932.0
Poland,1507,936.0
Poland,1508,937.0
Poland,1509,942.0
Poland,1510,948.0
Poland,1511,952.0
Poland,1512,952.0
Poland,1513,953.0
Poland,1514,971.0
Poland,1515,972.0
Poland,1516,974.0
Poland,1517,976.0
Poland,1518,976.0
Poland,1519,976.0
Poland,1520,983.0
Poland,1521,982.0
Poland,1522,982.0
Poland,1523,980.0
Poland,1524,979.0
Poland,1525,976.0
Poland,1526,969.0
Poland,1527,968.0
Poland,1528,969.0
Poland,1529,969.0
Poland,1530,961.0
Poland,1531,956.0
Poland,1532,948.0
Poland,1533,945.0
Poland,1534,942.0
Poland,1535,939.0
Poland,1536,950.0
Poland,1537,963.0
Poland,1538,969.0
Poland,1539,971.0
Poland,1540,982.0
Poland,1541,995.0
Poland,1542,1007.0
Poland,1543,1027.0
Poland,1544,1041.0
Poland,1545,1054.0
Poland,1546,1063.0
Poland,1547,1057.0
Poland,1548,1049.0
Poland,1549,1049.0
Poland,1550,1041.0
Poland,1551,1038.0
Poland,1552,1042.0
Poland,1553,1044.0
Poland,1554,1047.0
Poland,1555,1052.0
Poland,1556,1060.0
Poland,1557,1078.0
