year,v2x_polyarchy,v2x_libdem,country
1945,0.16,0.104,Poland
1946,0.164,0.104,Poland
1947,0.18,0.108,Poland
1948,0.178,0.105,Poland
1949,0.172,0.103,Poland
1950,0.173,0.102,Poland
1951,0.173,0.103,Poland
1952,0.172,0.103,Poland
1953,0.169,0.102,Poland
1954,0.169,0.102,Poland
1955,0.169,0.102,Poland
1956,0.17,0.109,Poland
1957,0.196,0.134,Poland
1958,0.197,0.135,Poland
1959,0.197,0.135,Poland
1960,0.197,0.135,Poland
1961,0.19,0.133,Poland
1962,0.187,0.132,Poland
1963,0.187,0.132,Poland
1964,0.187,0.132,Poland
1965,0.186,0.132,Poland
1966,0.187,0.132,Poland
1967,0.187,0.132,Poland
1968,0.187,0.131,Poland
1969,0.186,0.132,Poland
1970,0.185,0.132,Poland
1971,0.188,0.134,Poland
1972,0.191,0.135,Poland
1973,0.191,0.134,Poland
1974,0.191,0.135,Poland
1975,0.191,0.135,Poland
1976,0.186,0.133,Poland
1977,0.185,0.133,Poland
1978,0.185,0.134,Poland
1979,0.185,0.134,Poland
1980,0.209,0.14,Poland
1981,0.209,0.131,Poland
1982,0.185,0.12,Poland
1983,0.185,0.124,Poland
1984,0.189,0.134,Poland
1985,0.189,0.138,Poland
1986,0.19,0.144,Poland
1987,0.188,0.151,Poland
1988,0.193,0.156,Poland
1989,0.377,0.29,Poland
1990,0.742,0.662,Poland
1991,0.864,0.782,Poland
1992,0.884,0.804,Poland
1993,0.884,0.809,Poland
1994,0.89,0.814,Poland
1995,0.888,0.813,Poland
1996,0.881,0.804,Poland
1997,0.869,0.793,Poland
1998,0.878,0.801,Poland
1999,0.878,0.804,Poland
2000,0.878,0.804,Poland
2001,0.878,0.804,Poland
2002,0.879,0.812,Poland
2003,0.879,0.812,Poland
2004,0.879,0.812,Poland
2005,0.881,0.814,Poland
2006,0.875,0.805,Poland
2007,0.873,0.804,Poland
2008,0.895,0.831,Poland
2009,0.895,0.831,Poland
2010,0.894,0.831,Poland
2011,0.894,0.833,Poland
2012,0.894,0.832,Poland
2013,0.891,0.827,Poland
2014,0.884,0.817,Poland
2015,0.875,0.779,Poland
2016,0.727,0.593,Poland
2017,0.697,0.544,Poland
2018,0.697,0.523,Poland
2019,0.681,0.508,Poland
2020,0.614,0.449,Poland
2021,0.584,0.419,Poland
2022,0.576,0.417,Poland
2023,0.59,0.452,Poland
2024,0.729,0.616,Poland
1990,0.458,0.346,Belarus
1991,0.491,0.372,Belarus
1992,0.56,0.441,Belarus
1993,0.552,0.439,Belarus
1994,0.547,0.409,Belarus
1995,0.496,0.356,Belarus
1996,0.442,0.213,Belarus
1997,0.366,0.139,Belarus
1998,0.344,0.132,Belarus
1999,0.328,0.114,Belarus
2000,0.297,0.107,Belarus
2001,0.246,0.103,Belarus
2002,0.242,0.1,Belarus
2003,0.241,0.098,Belarus
2004,0.241,0.098,Belarus
2005,0.233,0.096,Belarus
2006,0.227,0.095,Belarus
2007,0.225,0.096,Belarus
2008,0.226,0.097,Belarus
2009,0.228,0.098,Belarus
2010,0.227,0.096,Belarus
2011,0.216,0.094,Belarus
2012,0.221,0.094,Belarus
2013,0.242,0.099,Belarus
2014,0.245,0.099,Belarus
2015,0.25,0.102,Belarus
2016,0.256,0.108,Belarus
2017,0.256,0.109,Belarus
2018,0.257,0.112,Belarus
2019,0.26,0.111,Belarus
2020,0.211,0.046,Belarus
2021,0.173,0.036,Belarus
2022,0.172,0.037,Belarus
2023,0.157,0.035,Belarus
2024,0.161,0.036,Belarus
