Country Name,Country Code,Series Name,Series Code,2020 [YR2020],データソース_dataset1,データソース_dataset2
Afghanistan,AFG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,33.8,データセット1,データセット2
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19955929052.1496,,データセット2
Africa Eastern and Southern,AFE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,20.8288135627805,データセット1,データセット2
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,933391782089.617,,データセット2
Africa Western and Central,AFW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,18.8010084287976,データセット1,データセット2
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,789801651563.294,,データセット2
Albania,ALB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,83.1,データセット1,データセット2
Albania,ALB,GDP (current US$),NY.GDP.MKTP.CD,15241458744.8688,,データセット2
Algeria,DZA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.7,データセット1,データセット2
Algeria,DZA,GDP (current US$),NY.GDP.MKTP.CD,164873415325.201,,データセット2
American Samoa,ASM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
American Samoa,ASM,GDP (current US$),NY.GDP.MKTP.CD,721000000,,データセット2
Andorra,AND,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Andorra,AND,GDP (current US$),NY.GDP.MKTP.CD,2891001149.3611,,データセット2
Angola,AGO,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,49.7,データセット1,データセット2
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,48501561203.5686,,データセット2
Antigua and Barbuda,ATG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1410796296.2963,,データセット2
Arab World,ARB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86.5030985484257,データセット1,データセット2
Arab World,ARB,GDP (current US$),NY.GDP.MKTP.CD,2562783626987.73,,データセット2
Argentina,ARG,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.9,データセット1,データセット2
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,385740508436.965,,データセット2
Armenia,ARM,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,97.9,データセット1,データセット2
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,12641698583.2152,,データセット2
Aruba,ABW,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,2481857122.8401,,データセット2
Australia,AUS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1328414058378.38,,データセット2
Austria,AUT,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,434397601557.696,,データセット2
Azerbaijan,AZE,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,98.1,データセット1,データセット2
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,42693000000,,データセット2
"Bahamas, The",BHS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,9958200000,,データセット2
Bahrain,BHR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,35837632978.7234,,データセット2
Bangladesh,BGD,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,24.9,データセット1,データセット2
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,373979442362.193,,データセット2
Barbados,BRB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,5168344450,,データセット2
Belarus,BLR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,99.7,データセット1,データセット2
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,61371755326.2351,,データセット2
Belgium,BEL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,100,データセット1,データセット2
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,529694473501.791,,データセット2
Belize,BLZ,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,82.9,データセット1,データセット2
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,2042850000,,データセット2
Benin,BEN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,5.7,データセット1,データセット2
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,15651545208.8783,,データセット2
Bermuda,BMU,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,..,データセット1,データセット2
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,6887147000,,データセット2
Bhutan,BTN,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,86,データセット1,データセット2
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,2457604334.15915,,データセット2
Bolivia,BOL,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,87.4,データセット1,データセット2
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,36629843805.0216,,データセット2
Bosnia and Herzegovina,BIH,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,40.85,データセット1,データセット2
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,20226036564.4129,,データセット2
Botswana,BWA,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS,64.8,データセット1,データセット2
