,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
0,C,A,20100101,2010,52,2010,36,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,38004358372.0,38004358372.0,0,True,False
1,C,A,20110101,2011,52,2011,36,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,43447909794.0,43447909794.0,0,True,False
2,C,A,20120101,2012,52,2012,36,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,45996260698.0,45996260698.0,0,True,False
3,C,A,20130101,2013,52,2013,36,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,44861052377.0,44861052377.0,0,True,False
4,C,A,20140101,2014,52,2014,36,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,46854594144.0,46854594144.0,0,True,False
5,C,A,20150101,2015,52,2015,36,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,46292722371.0,46292722371.0,0,True,False
6,C,A,20160101,2016,52,2016,36,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,44241021648.0,44241021648.0,0,True,False
7,C,A,20170101,2017,52,2017,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,49971610459.392,48330876881.063,49971610459.392,4,False,True
8,C,A,20170101,2017,52,2017,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,1000,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,11449434836.027,11025213010.23,11449434836.027,4,False,True
9,C,A,20170101,2017,52,2017,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,2100,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,38521834226.87,37305358605.648,38521834226.87,4,False,True
10,C,A,20170101,2017,52,2017,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,9200,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,341396.495,305265.185,341396.495,4,False,True
11,C,A,20180101,2018,52,2018,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,57102168766.725,55070489982.451,57102168766.725,4,False,True
12,C,A,20180101,2018,52,2018,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,1000,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,12541622744.54,12065650067.721,12541622744.54,4,False,True
13,C,A,20180101,2018,52,2018,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,2100,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,44560271432.293,43004588697.998,44560271432.293,4,False,True
14,C,A,20180101,2018,52,2018,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,9200,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,274589.892,251216.733,274589.892,4,False,True
15,C,A,20190101,2019,52,2019,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,56448232586.902,54585720203.226,56448232586.902,4,False,True
16,C,A,20190101,2019,52,2019,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,1000,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,12036023367.706,11596494819.75,12036023367.706,4,False,True
17,C,A,20190101,2019,52,2019,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,2100,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,44411995003.103,42989030225.258,44411995003.103,4,False,True
18,C,A,20190101,2019,52,2019,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,9200,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,214216.094,195158.218,214216.094,4,False,True
19,C,A,20200101,2020,52,2020,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,60208016256.254,57642014169.027,60208016256.254,4,False,True
20,C,A,20200101,2020,52,2020,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,1000,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,12797644992.575,12112466071.655,12797644992.575,4,False,True
21,C,A,20200101,2020,52,2020,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,2100,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,47410166824.13,45529360163.717,47410166824.13,4,False,True
22,C,A,20200101,2020,52,2020,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,9200,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,204439.549,187933.655,204439.549,4,False,True
23,C,A,20210101,2021,52,2021,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,72858757972.878,67863259644.863,72858757972.878,4,False,True
24,C,A,20210101,2021,52,2021,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,1000,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,14458368345.516,13710984926.067,14458368345.516,4,False,True
25,C,A,20210101,2021,52,2021,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,2100,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,58400272260.887,54152166296.99,58400272260.887,4,False,True
26,C,A,20210101,2021,52,2021,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,9200,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,117366.475,108421.807,117366.475,4,False,True
27,C,A,20220101,2022,52,2022,36,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,83730941500.959,76813230265.593,83730941500.959,4,False,True
28,C,A,20220101,2022,52,2022,36,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,1000,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,15653545008.498,14652542478.269,15653545008.498,4,False,True
29,C,A,20220101,2022,52,2022,36,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,2100,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,68077185975.126,62160482950.187,68077185975.126,4,False,True
30,C,A,20220101,2022,52,2022,36,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,9200,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,210517.335,204837.137,210517.335,4,False,True
31,C,A,20230101,2023,52,2023,36,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,71820697468.717,69056481237.647,71820697468.717,4,False,True
32,C,A,20230101,2023,52,2023,36,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,1000,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,11663080001.844,11193145577.599,11663080001.844,4,False,True
33,C,A,20230101,2023,52,2023,36,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,2100,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,60157429576.706,57863150386.832,60157429576.706,4,False,True
34,C,A,20230101,2023,52,2023,36,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,9200,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,187890.166,185273.216,187890.166,4,False,True
