,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
0,C,A,20100101,2010,52,2010,36,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,38004358372.0,38004358372.0,0,True,False
1,C,A,20110101,2011,52,2011,36,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,43447909794.0,43447909794.0,0,True,False
2,C,A,20120101,2012,52,2012,36,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,45996260698.0,45996260698.0,0,True,False
3,C,A,20130101,2013,52,2013,36,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,44861052377.0,44861052377.0,0,True,False
4,C,A,20140101,2014,52,2014,36,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,46854594144.0,46854594144.0,0,True,False
5,C,A,20150101,2015,52,2015,36,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,46292722371.0,46292722371.0,0,True,False
6,C,A,20160101,2016,52,2016,36,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,,44241021648.0,44241021648.0,0,True,False
7,C,A,20170101,2017,52,2017,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,49971610459.392,48330876881.063,49971610459.392,4,False,True
11,C,A,20180101,2018,52,2018,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,57102168766.725,55070489982.451,57102168766.725,4,False,True
15,C,A,20190101,2019,52,2019,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,56448232586.902,54585720203.226,56448232586.902,4,False,True
19,C,A,20200101,2020,52,2020,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,60208016256.254,57642014169.027,60208016256.254,4,False,True
23,C,A,20210101,2021,52,2021,36,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,72858757972.878,67863259644.863,72858757972.878,4,False,True
27,C,A,20220101,2022,52,2022,36,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,83730941500.959,76813230265.593,83730941500.959,4,False,True
31,C,A,20230101,2023,52,2023,36,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,71820697468.717,69056481237.647,71820697468.717,4,False,True
35,C,A,20100101,2010,52,2010,40,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,7191716699.0,,7191716699.0,0,True,False
36,C,A,20110101,2011,52,2011,40,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,,False,-1,,,False,,False,,False,8899480099.0,,8899480099.0,0,True,False
37,C,A,20120101,2012,52,2012,40,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,8576840047.326,,8576840047.326,4,False,True
38,C,A,20130101,2013,52,2013,40,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,8928340062.038,,8928340062.038,4,False,True
39,C,A,20140101,2014,52,2014,40,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,9625579505.719,,9625579505.719,4,False,True
40,C,A,20150101,2015,52,2015,40,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,8755837829.701,,8755837829.701,4,False,True
41,C,A,20160101,2016,52,2016,40,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,8779584820.595,,8779584820.595,0,False,True
42,C,A,20170101,2017,52,2017,40,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,9526904208.166,,9526904208.166,0,False,True
43,C,A,20180101,2018,52,2018,40,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0 ,0,,-1,,0.0,False,-1,,0.0,False,,True,,False,10755897501.367,,10755897501.367,0,False,True
44,C,A,20190101,2019,52,2019,40,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,10998301463.325,,10998301463.325,4,False,True
45,C,A,20200101,2020,52,2020,40,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,11626199665.511,0.0,11626199665.511,4,False,True
46,C,A,20210101,2021,52,2021,40,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,15489570220.236,,15489570220.236,4,False,True
47,C,A,20220101,2022,52,2022,40,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,18374175542.94,,18374175542.94,4,False,True
48,C,A,20230101,2023,52,2023,40,,,M,,156,,,0,,,H6,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,16339720323.874,,16339720323.874,4,False,True
49,C,A,20100101,2010,52,2010,56,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,8176073533.354,0.0,8176073533.354,4,False,True
50,C,A,20110101,2011,52,2011,56,,,M,,156,,,0,,,H3,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,9395707045.425,,9395707045.425,4,False,True
51,C,A,20120101,2012,52,2012,56,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,7991103063.081,0.0,7991103063.081,4,False,True
52,C,A,20130101,2013,52,2013,56,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,7992736880.193,0.0,7992736880.193,4,False,True
53,C,A,20140101,2014,52,2014,56,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,8661725797.855,0.0,8661725797.855,4,False,True
54,C,A,20150101,2015,52,2015,56,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,7663941672.529,0.0,7663941672.529,4,False,True
55,C,A,20160101,2016,52,2016,56,,,M,,156,,,0,,,H4,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,7415774420.98,0.0,7415774420.98,4,False,True
56,C,A,20170101,2017,52,2017,56,,,M,,156,,,0,,,H5,HS,True,TOTAL,,,,C00,,0,0,,-1,,0.0,False,-1,,0.0,False,0.0,True,0.0,False,7738744130.923,0.0,7738744130.923,4,False,True
